transaction_id,status,exception_type,difference,severity,explanation,recommended_action,priority,resolution_category,next_step,escalation_required,ml_status,ml_exception_probability,ml_predicted_exception_type,ml_exception_type_probability,ml_agrees_with_rule_status,ml_agrees_with_rule_exception_type,hybrid_decision
TXN00051,EXCEPTION,MULTIPLE_PAYMENTS,2399.7,MEDIUM,Multiple payment records exist for transaction TXN00051.,Verify why multiple payments exist for the same transaction and confirm the correct payment record.,MEDIUM,DUPLICATE_REVIEW,Review all payment records associated with the transaction and determine whether multiple payments were legitimately received.,YES,EXCEPTION,0.98,MULTIPLE_PAYMENTS,0.755,True,True,RULE_EXCEPTION_ML_SUPPORT
TXN00054,EXCEPTION,MISSING_PAYMENT,1999.0,HIGH,No payment record was found for transaction TXN00054.,Verify payment gateway records and confirm whether the payment was received.,HIGH,PAYMENT_REVIEW,Verify the payment gateway records and confirm whether the payment was received.,YES,EXCEPTION,1.0,MISSING_PAYMENT,1.0,True,True,RULE_CONFIRMED_BY_ML
TXN00057,EXCEPTION,MISSING_PAYMENT,5999.0,HIGH,No payment record was found for transaction TXN00057.,Verify payment gateway records and confirm whether the payment was received.,HIGH,PAYMENT_REVIEW,Verify the payment gateway records and confirm whether the payment was received.,YES,EXCEPTION,1.0,MISSING_PAYMENT,0.98,True,True,RULE_CONFIRMED_BY_ML
TXN00067,EXCEPTION,REFUND,374.75,HIGH,A refund was recorded for transaction TXN00067.,Verify the refund authorization and confirm that the refund amount is correct.,HIGH,REFUND_REVIEW,Verify the refund authorization and confirm that the refund amount and transaction reference are correct.,YES,EXCEPTION,1.0,REFUND,0.88,True,True,RULE_CONFIRMED_BY_ML
TXN00077,EXCEPTION,DUPLICATE_PAYMENT,299.0,MEDIUM,"Multiple payment records were found for transaction TXN00077, including a duplicate payment.",Verify the duplicate payment records and determine whether a reversal or refund is required.,MEDIUM,DUPLICATE_REVIEW,Review the duplicate payment records and determine whether a reversal or refund is required.,YES,EXCEPTION,0.975,DUPLICATE_PAYMENT,0.89,True,True,RULE_CONFIRMED_BY_ML
TXN00086,EXCEPTION,AMOUNT_MISMATCH,250.0,HIGH,The settlement amount does not match the clean reference amount.,Compare the expected and actual settlement amounts and investigate the difference.,HIGH,FINANCIAL_REVIEW,Compare the expected transaction amount with the actual settlement amount and identify the cause of the variance.,YES,EXCEPTION,0.975,AMOUNT_MISMATCH,0.735,True,True,RULE_EXCEPTION_ML_SUPPORT
TXN00089,EXCEPTION,WRONG_TRANSACTION_REFERENCE,0.0,MEDIUM,The bank reference does not match transaction TXN00089.,Verify the bank reference and correct the transaction mapping if required.,MEDIUM,REFERENCE_REVIEW,"Verify the transaction reference across the payment, bank, and settlement records.",YES,EXCEPTION,0.695,NONE,0.935,True,False,RULE_EXCEPTION_ML_SUPPORT
TXN00093,EXCEPTION,INCORRECT_FEE,69.93,MEDIUM,The settlement fee differs from the expected fee structure.,Compare the charged settlement fee with the expected fee structure.,MEDIUM,FEE_REVIEW,Compare the recorded fee with the expected fee according to the applicable fee structure.,NO,EXCEPTION,0.925,INCORRECT_FEE,0.69,True,True,RULE_EXCEPTION_ML_SUPPORT
TXN00114,EXCEPTION,MISSING_PAYMENT,999.0,HIGH,No payment record was found for transaction TXN00114.,Verify payment gateway records and confirm whether the payment was received.,HIGH,PAYMENT_REVIEW,Verify the payment gateway records and confirm whether the payment was received.,YES,EXCEPTION,1.0,MISSING_PAYMENT,0.995,True,True,RULE_CONFIRMED_BY_ML
TXN00130,EXCEPTION,WRONG_TRANSACTION_REFERENCE,0.0,MEDIUM,The bank reference does not match transaction TXN00130.,Verify the bank reference and correct the transaction mapping if required.,MEDIUM,REFERENCE_REVIEW,"Verify the transaction reference across the payment, bank, and settlement records.",YES,EXCEPTION,0.62,WRONG_TRANSACTION_REFERENCE,0.64,True,True,RULE_EXCEPTION_ML_SUPPORT
TXN00137,EXCEPTION,WRONG_TRANSACTION_REFERENCE,0.0,MEDIUM,The bank reference does not match transaction TXN00137.,Verify the bank reference and correct the transaction mapping if required.,MEDIUM,REFERENCE_REVIEW,"Verify the transaction reference across the payment, bank, and settlement records.",YES,MATCHED,0.009,NONE,0.995,False,False,RULE_EXCEPTION_ML_DISAGREEMENT
TXN00150,EXCEPTION,PARTIAL_SETTLEMENT,1999.8,MEDIUM,The settlement amount is lower than the expected gross settlement amount.,Verify whether the remaining amount is pending or was incorrectly settled.,MEDIUM,SETTLEMENT_REVIEW,Verify whether the remaining settlement amount is pending or was incorrectly omitted.,YES,EXCEPTION,0.965,PARTIAL_SETTLEMENT,0.74,True,True,RULE_EXCEPTION_ML_SUPPORT
TXN00151,EXCEPTION,MISSING_PAYMENT,1499.0,HIGH,No payment record was found for transaction TXN00151.,Verify payment gateway records and confirm whether the payment was received.,HIGH,PAYMENT_REVIEW,Verify the payment gateway records and confirm whether the payment was received.,YES,EXCEPTION,1.0,MISSING_PAYMENT,1.0,True,True,RULE_CONFIRMED_BY_ML
TXN00158,EXCEPTION,INCORRECT_FEE,149.9,MEDIUM,The settlement fee differs from the expected fee structure.,Compare the charged settlement fee with the expected fee structure.,MEDIUM,FEE_REVIEW,Compare the recorded fee with the expected fee according to the applicable fee structure.,NO,EXCEPTION,0.945,INCORRECT_FEE,0.375,True,True,RULE_EXCEPTION_ML_SUPPORT
TXN00175,EXCEPTION,MISSING_PAYMENT,2499.0,HIGH,No payment record was found for transaction TXN00175.,Verify payment gateway records and confirm whether the payment was received.,HIGH,PAYMENT_REVIEW,Verify the payment gateway records and confirm whether the payment was received.,YES,EXCEPTION,1.0,MISSING_PAYMENT,0.995,True,True,RULE_CONFIRMED_BY_ML
TXN00178,EXCEPTION,DUPLICATE_PAYMENT,2999.0,MEDIUM,"Multiple payment records were found for transaction TXN00178, including a duplicate payment.",Verify the duplicate payment records and determine whether a reversal or refund is required.,MEDIUM,DUPLICATE_REVIEW,Review the duplicate payment records and determine whether a reversal or refund is required.,YES,EXCEPTION,0.99,DUPLICATE_PAYMENT,0.91,True,True,RULE_CONFIRMED_BY_ML
TXN00179,EXCEPTION,DATE_MISMATCH,0.0,LOW,The payment date differs from the clean reference payment date.,Verify the payment processing date against the source payment record.,LOW,DATE_REVIEW,Compare the relevant payment and settlement dates and verify the correct processing date.,NO,EXCEPTION,0.6,DATE_MISMATCH,0.62,True,True,RULE_EXCEPTION_ML_SUPPORT
TXN00185,EXCEPTION,AMOUNT_MISMATCH,100.0,HIGH,The settlement amount does not match the clean reference amount.,Compare the expected and actual settlement amounts and investigate the difference.,HIGH,FINANCIAL_REVIEW,Compare the expected transaction amount with the actual settlement amount and identify the cause of the variance.,YES,EXCEPTION,0.975,AMOUNT_MISMATCH,0.865,True,True,RULE_CONFIRMED_BY_ML
TXN00186,EXCEPTION,MISSING_PAYMENT,2499.0,HIGH,No payment record was found for transaction TXN00186.,Verify payment gateway records and confirm whether the payment was received.,HIGH,PAYMENT_REVIEW,Verify the payment gateway records and confirm whether the payment was received.,YES,EXCEPTION,1.0,MISSING_PAYMENT,0.995,True,True,RULE_CONFIRMED_BY_ML
TXN00189,EXCEPTION,REFUND,449.7,HIGH,A refund was recorded for transaction TXN00189.,Verify the refund authorization and confirm that the refund amount is correct.,HIGH,REFUND_REVIEW,Verify the refund authorization and confirm that the refund amount and transaction reference are correct.,YES,EXCEPTION,1.0,REFUND,0.955,True,True,RULE_CONFIRMED_BY_ML
TXN00190,EXCEPTION,MISSING_SETTLEMENT,1999.0,HIGH,No settlement record was found for transaction TXN00190.,Verify the settlement batch and check whether the transaction is still pending.,HIGH,SETTLEMENT_REVIEW,Verify the settlement batch and check whether the transaction is still pending.,YES,EXCEPTION,1.0,MISSING_SETTLEMENT,1.0,True,True,RULE_CONFIRMED_BY_ML
TXN00196,EXCEPTION,SETTLEMENT_DELAY,0.0,LOW,The settlement date differs from the clean reference settlement date.,Check settlement processing status and investigate the settlement delay.,LOW,SETTLEMENT_REVIEW,Check the settlement processing status and investigate the reason for the delay.,NO,EXCEPTION,0.62,SETTLEMENT_DELAY,0.665,True,True,RULE_EXCEPTION_ML_SUPPORT
TXN00199,EXCEPTION,PARTIAL_SETTLEMENT,1249.5,MEDIUM,The settlement amount is lower than the expected gross settlement amount.,Verify whether the remaining amount is pending or was incorrectly settled.,MEDIUM,SETTLEMENT_REVIEW,Verify whether the remaining settlement amount is pending or was incorrectly omitted.,YES,EXCEPTION,0.99,PARTIAL_SETTLEMENT,0.76,True,True,RULE_EXCEPTION_ML_SUPPORT
TXN00201,EXCEPTION,DUPLICATE_PAYMENT,799.0,MEDIUM,"Multiple payment records were found for transaction TXN00201, including a duplicate payment.",Verify the duplicate payment records and determine whether a reversal or refund is required.,MEDIUM,DUPLICATE_REVIEW,Review the duplicate payment records and determine whether a reversal or refund is required.,YES,EXCEPTION,0.98,DUPLICATE_PAYMENT,0.9,True,True,RULE_CONFIRMED_BY_ML
TXN00203,EXCEPTION,MISSING_SETTLEMENT,1499.0,HIGH,No settlement record was found for transaction TXN00203.,Verify the settlement batch and check whether the transaction is still pending.,HIGH,SETTLEMENT_REVIEW,Verify the settlement batch and check whether the transaction is still pending.,YES,EXCEPTION,1.0,MISSING_SETTLEMENT,1.0,True,True,RULE_CONFIRMED_BY_ML
TXN00211,EXCEPTION,DUPLICATE_SETTLEMENT,-84.94,MEDIUM,"Multiple settlement records were found for transaction TXN00211, including a duplicate settlement.",Verify the duplicate settlement entries and investigate possible over-settlement.,MEDIUM,DUPLICATE_REVIEW,Review the settlement records and determine whether the transaction was settled more than once.,YES,EXCEPTION,0.935,DUPLICATE_SETTLEMENT,0.98,True,True,RULE_CONFIRMED_BY_ML
TXN00212,EXCEPTION,MULTIPLE_PAYMENTS,2999.7,MEDIUM,Multiple payment records exist for transaction TXN00212.,Verify why multiple payments exist for the same transaction and confirm the correct payment record.,MEDIUM,DUPLICATE_REVIEW,Review all payment records associated with the transaction and determine whether multiple payments were legitimately received.,YES,EXCEPTION,0.995,MULTIPLE_PAYMENTS,0.79,True,True,RULE_EXCEPTION_ML_SUPPORT
TXN00222,EXCEPTION,MISSING_SETTLEMENT,799.0,HIGH,No settlement record was found for transaction TXN00222.,Verify the settlement batch and check whether the transaction is still pending.,HIGH,SETTLEMENT_REVIEW,Verify the settlement batch and check whether the transaction is still pending.,YES,EXCEPTION,1.0,MISSING_SETTLEMENT,1.0,True,True,RULE_CONFIRMED_BY_ML
TXN00230,EXCEPTION,PARTIAL_SETTLEMENT,799.8,MEDIUM,The settlement amount is lower than the expected gross settlement amount.,Verify whether the remaining amount is pending or was incorrectly settled.,MEDIUM,SETTLEMENT_REVIEW,Verify whether the remaining settlement amount is pending or was incorrectly omitted.,YES,EXCEPTION,1.0,PARTIAL_SETTLEMENT,0.765,True,True,RULE_EXCEPTION_ML_SUPPORT
TXN00242,EXCEPTION,PARTIAL_SETTLEMENT,999.5,MEDIUM,The settlement amount is lower than the expected gross settlement amount.,Verify whether the remaining amount is pending or was incorrectly settled.,MEDIUM,SETTLEMENT_REVIEW,Verify whether the remaining settlement amount is pending or was incorrectly omitted.,YES,EXCEPTION,1.0,PARTIAL_SETTLEMENT,0.735,True,True,RULE_EXCEPTION_ML_SUPPORT
TXN00248,EXCEPTION,DUPLICATE_PAYMENT,3999.0,MEDIUM,"Multiple payment records were found for transaction TXN00248, including a duplicate payment.",Verify the duplicate payment records and determine whether a reversal or refund is required.,MEDIUM,DUPLICATE_REVIEW,Review the duplicate payment records and determine whether a reversal or refund is required.,YES,EXCEPTION,0.995,DUPLICATE_PAYMENT,0.97,True,True,RULE_CONFIRMED_BY_ML
TXN00252,EXCEPTION,UNKNOWN_ADJUSTMENT,-500.0,MEDIUM,An unexpected settlement adjustment was recorded for transaction TXN00252.,Review the adjustment entry and identify its source.,MEDIUM,ADJUSTMENT_REVIEW,Review the adjustment entry and identify its source and business reason.,YES,EXCEPTION,1.0,UNKNOWN_ADJUSTMENT,0.84,True,True,RULE_CONFIRMED_BY_ML
TXN00257,EXCEPTION,SETTLEMENT_DELAY,0.0,LOW,The settlement date differs from the clean reference settlement date.,Check settlement processing status and investigate the settlement delay.,LOW,SETTLEMENT_REVIEW,Check the settlement processing status and investigate the reason for the delay.,NO,EXCEPTION,0.5467499411493216,NONE,0.995,True,False,RULE_EXCEPTION_ML_SUPPORT
TXN00265,EXCEPTION,MISSING_PAYMENT,4999.0,HIGH,No payment record was found for transaction TXN00265.,Verify payment gateway records and confirm whether the payment was received.,HIGH,PAYMENT_REVIEW,Verify the payment gateway records and confirm whether the payment was received.,YES,EXCEPTION,1.0,MISSING_PAYMENT,0.97,True,True,RULE_CONFIRMED_BY_ML
TXN00283,EXCEPTION,FAILED_PAYMENT,999.0,HIGH,The payment associated with transaction TXN00283 is marked as FAILED.,Verify the payment status and determine whether a retry or customer follow-up is required.,HIGH,PAYMENT_REVIEW,Verify the payment failure status and determine whether the payment should be retried or followed up.,YES,EXCEPTION,0.9,FAILED_PAYMENT,0.96,True,True,RULE_CONFIRMED_BY_ML
TXN00288,EXCEPTION,FAILED_PAYMENT,299.0,HIGH,The payment associated with transaction TXN00288 is marked as FAILED.,Verify the payment status and determine whether a retry or customer follow-up is required.,HIGH,PAYMENT_REVIEW,Verify the payment failure status and determine whether the payment should be retried or followed up.,YES,EXCEPTION,0.845,FAILED_PAYMENT,0.775,True,True,RULE_EXCEPTION_ML_SUPPORT
TXN00291,EXCEPTION,DUPLICATE_PAYMENT,799.0,MEDIUM,"Multiple payment records were found for transaction TXN00291, including a duplicate payment.",Verify the duplicate payment records and determine whether a reversal or refund is required.,MEDIUM,DUPLICATE_REVIEW,Review the duplicate payment records and determine whether a reversal or refund is required.,YES,EXCEPTION,0.98,DUPLICATE_PAYMENT,0.9,True,True,RULE_CONFIRMED_BY_ML
TXN00294,EXCEPTION,DUPLICATE_SETTLEMENT,-23.58,MEDIUM,"Multiple settlement records were found for transaction TXN00294, including a duplicate settlement.",Verify the duplicate settlement entries and investigate possible over-settlement.,MEDIUM,DUPLICATE_REVIEW,Review the settlement records and determine whether the transaction was settled more than once.,YES,EXCEPTION,0.965,DUPLICATE_SETTLEMENT,0.96,True,True,RULE_CONFIRMED_BY_ML
TXN00299,EXCEPTION,FAILED_PAYMENT,3999.0,HIGH,The payment associated with transaction TXN00299 is marked as FAILED.,Verify the payment status and determine whether a retry or customer follow-up is required.,HIGH,PAYMENT_REVIEW,Verify the payment failure status and determine whether the payment should be retried or followed up.,YES,EXCEPTION,0.965,FAILED_PAYMENT,0.91,True,True,RULE_CONFIRMED_BY_ML
TXN00300,EXCEPTION,MISSING_SETTLEMENT,1999.0,HIGH,No settlement record was found for transaction TXN00300.,Verify the settlement batch and check whether the transaction is still pending.,HIGH,SETTLEMENT_REVIEW,Verify the settlement batch and check whether the transaction is still pending.,YES,EXCEPTION,1.0,MISSING_SETTLEMENT,1.0,True,True,RULE_CONFIRMED_BY_ML
TXN00309,EXCEPTION,WRONG_TRANSACTION_REFERENCE,0.0,MEDIUM,The bank reference does not match transaction TXN00309.,Verify the bank reference and correct the transaction mapping if required.,MEDIUM,REFERENCE_REVIEW,"Verify the transaction reference across the payment, bank, and settlement records.",YES,MATCHED,0.005,WRONG_TRANSACTION_REFERENCE,0.67,False,True,RULE_EXCEPTION_ML_DISAGREEMENT
TXN00312,EXCEPTION,CHARGEBACK,2999.25,HIGH,A chargeback was recorded for transaction TXN00312.,Review the chargeback and associated dispute record.,HIGH,DISPUTE_REVIEW,"Review the chargeback record, dispute reason, and supporting transaction information.",YES,EXCEPTION,1.0,CHARGEBACK,0.905,True,True,RULE_CONFIRMED_BY_ML
TXN00317,EXCEPTION,PARTIAL_SETTLEMENT,159.8,MEDIUM,The settlement amount is lower than the expected gross settlement amount.,Verify whether the remaining amount is pending or was incorrectly settled.,MEDIUM,SETTLEMENT_REVIEW,Verify whether the remaining settlement amount is pending or was incorrectly omitted.,YES,EXCEPTION,0.885,PARTIAL_SETTLEMENT,0.655,True,True,RULE_EXCEPTION_ML_SUPPORT
TXN00326,EXCEPTION,REFUND,599.9,HIGH,A refund was recorded for transaction TXN00326.,Verify the refund authorization and confirm that the refund amount is correct.,HIGH,REFUND_REVIEW,Verify the refund authorization and confirm that the refund amount and transaction reference are correct.,YES,EXCEPTION,1.0,REFUND,0.93,True,True,RULE_CONFIRMED_BY_ML
TXN00328,EXCEPTION,WRONG_TRANSACTION_REFERENCE,0.0,MEDIUM,The bank reference does not match transaction TXN00328.,Verify the bank reference and correct the transaction mapping if required.,MEDIUM,REFERENCE_REVIEW,"Verify the transaction reference across the payment, bank, and settlement records.",YES,EXCEPTION,0.625,WRONG_TRANSACTION_REFERENCE,0.615,True,True,RULE_EXCEPTION_ML_SUPPORT
TXN00331,EXCEPTION,CHARGEBACK,249.5,HIGH,A chargeback was recorded for transaction TXN00331.,Review the chargeback and associated dispute record.,HIGH,DISPUTE_REVIEW,"Review the chargeback record, dispute reason, and supporting transaction information.",YES,EXCEPTION,0.93,CHARGEBACK,0.87,True,True,RULE_CONFIRMED_BY_ML
TXN00335,EXCEPTION,MISSING_SETTLEMENT,1499.0,HIGH,No settlement record was found for transaction TXN00335.,Verify the settlement batch and check whether the transaction is still pending.,HIGH,SETTLEMENT_REVIEW,Verify the settlement batch and check whether the transaction is still pending.,YES,EXCEPTION,1.0,MISSING_SETTLEMENT,1.0,True,True,RULE_CONFIRMED_BY_ML
TXN00337,EXCEPTION,AMOUNT_MISMATCH,250.0,HIGH,The settlement amount does not match the clean reference amount.,Compare the expected and actual settlement amounts and investigate the difference.,HIGH,FINANCIAL_REVIEW,Compare the expected transaction amount with the actual settlement amount and identify the cause of the variance.,YES,EXCEPTION,1.0,AMOUNT_MISMATCH,0.89,True,True,RULE_CONFIRMED_BY_ML
TXN00343,EXCEPTION,WRONG_TRANSACTION_REFERENCE,0.0,MEDIUM,The bank reference does not match transaction TXN00343.,Verify the bank reference and correct the transaction mapping if required.,MEDIUM,REFERENCE_REVIEW,"Verify the transaction reference across the payment, bank, and settlement records.",YES,EXCEPTION,0.735,WRONG_TRANSACTION_REFERENCE,0.68,True,True,RULE_EXCEPTION_ML_SUPPORT
TXN00350,EXCEPTION,DATE_MISMATCH,0.0,LOW,The payment date differs from the clean reference payment date.,Verify the payment processing date against the source payment record.,LOW,DATE_REVIEW,Compare the relevant payment and settlement dates and verify the correct processing date.,NO,EXCEPTION,0.665,DATE_MISMATCH,0.61,True,True,RULE_EXCEPTION_ML_SUPPORT
TXN00351,EXCEPTION,AMOUNT_MISMATCH,100.0,HIGH,The settlement amount does not match the clean reference amount.,Compare the expected and actual settlement amounts and investigate the difference.,HIGH,FINANCIAL_REVIEW,Compare the expected transaction amount with the actual settlement amount and identify the cause of the variance.,YES,EXCEPTION,0.78,AMOUNT_MISMATCH,0.72,True,True,RULE_EXCEPTION_ML_SUPPORT
TXN00355,EXCEPTION,AMOUNT_MISMATCH,500.0,HIGH,The settlement amount does not match the clean reference amount.,Compare the expected and actual settlement amounts and investigate the difference.,HIGH,FINANCIAL_REVIEW,Compare the expected transaction amount with the actual settlement amount and identify the cause of the variance.,YES,EXCEPTION,0.99,AMOUNT_MISMATCH,0.48,True,True,RULE_EXCEPTION_ML_SUPPORT
TXN00356,EXCEPTION,REFUND,1199.7,HIGH,A refund was recorded for transaction TXN00356.,Verify the refund authorization and confirm that the refund amount is correct.,HIGH,REFUND_REVIEW,Verify the refund authorization and confirm that the refund amount and transaction reference are correct.,YES,EXCEPTION,1.0,REFUND,0.955,True,True,RULE_CONFIRMED_BY_ML
TXN00360,EXCEPTION,REFUND,449.7,HIGH,A refund was recorded for transaction TXN00360.,Verify the refund authorization and confirm that the refund amount is correct.,HIGH,REFUND_REVIEW,Verify the refund authorization and confirm that the refund amount and transaction reference are correct.,YES,EXCEPTION,1.0,REFUND,0.96,True,True,RULE_CONFIRMED_BY_ML
TXN00362,EXCEPTION,INCORRECT_FEE,19.9,MEDIUM,The settlement fee differs from the expected fee structure.,Compare the charged settlement fee with the expected fee structure.,MEDIUM,FEE_REVIEW,Compare the recorded fee with the expected fee according to the applicable fee structure.,NO,EXCEPTION,0.9,INCORRECT_FEE,0.66,True,True,RULE_EXCEPTION_ML_SUPPORT
TXN00365,EXCEPTION,MISSING_SETTLEMENT,199.0,HIGH,No settlement record was found for transaction TXN00365.,Verify the settlement batch and check whether the transaction is still pending.,HIGH,SETTLEMENT_REVIEW,Verify the settlement batch and check whether the transaction is still pending.,YES,EXCEPTION,0.99,MISSING_SETTLEMENT,0.985,True,True,RULE_CONFIRMED_BY_ML
TXN00366,EXCEPTION,AMOUNT_MISMATCH,500.0,HIGH,The settlement amount does not match the clean reference amount.,Compare the expected and actual settlement amounts and investigate the difference.,HIGH,FINANCIAL_REVIEW,Compare the expected transaction amount with the actual settlement amount and identify the cause of the variance.,YES,EXCEPTION,0.995,AMOUNT_MISMATCH,0.395,True,True,RULE_EXCEPTION_ML_SUPPORT
TXN00370,EXCEPTION,MISSING_PAYMENT,499.0,HIGH,No payment record was found for transaction TXN00370.,Verify payment gateway records and confirm whether the payment was received.,HIGH,PAYMENT_REVIEW,Verify the payment gateway records and confirm whether the payment was received.,YES,EXCEPTION,1.0,MISSING_PAYMENT,0.98,True,True,RULE_CONFIRMED_BY_ML
TXN00375,EXCEPTION,PARTIAL_SETTLEMENT,749.7,MEDIUM,The settlement amount is lower than the expected gross settlement amount.,Verify whether the remaining amount is pending or was incorrectly settled.,MEDIUM,SETTLEMENT_REVIEW,Verify whether the remaining settlement amount is pending or was incorrectly omitted.,YES,EXCEPTION,0.995,PARTIAL_SETTLEMENT,0.82,True,True,RULE_CONFIRMED_BY_ML
TXN00376,EXCEPTION,DATE_MISMATCH,0.0,LOW,The payment date differs from the clean reference payment date.,Verify the payment processing date against the source payment record.,LOW,DATE_REVIEW,Compare the relevant payment and settlement dates and verify the correct processing date.,NO,MATCHED,0.045,DATE_MISMATCH,0.7,False,True,RULE_EXCEPTION_ML_DISAGREEMENT
TXN00382,EXCEPTION,MULTIPLE_PAYMENTS,449.7,MEDIUM,Multiple payment records exist for transaction TXN00382.,Verify why multiple payments exist for the same transaction and confirm the correct payment record.,MEDIUM,DUPLICATE_REVIEW,Review all payment records associated with the transaction and determine whether multiple payments were legitimately received.,YES,EXCEPTION,0.99,MULTIPLE_PAYMENTS,0.785,True,True,RULE_EXCEPTION_ML_SUPPORT
TXN00387,EXCEPTION,MISSING_SETTLEMENT,5999.0,HIGH,No settlement record was found for transaction TXN00387.,Verify the settlement batch and check whether the transaction is still pending.,HIGH,SETTLEMENT_REVIEW,Verify the settlement batch and check whether the transaction is still pending.,YES,EXCEPTION,1.0,MISSING_SETTLEMENT,1.0,True,True,RULE_CONFIRMED_BY_ML
TXN00393,EXCEPTION,INCORRECT_FEE,279.93,MEDIUM,The settlement fee differs from the expected fee structure.,Compare the charged settlement fee with the expected fee structure.,MEDIUM,FEE_REVIEW,Compare the recorded fee with the expected fee according to the applicable fee structure.,NO,EXCEPTION,1.0,INCORRECT_FEE,0.795,True,True,RULE_EXCEPTION_ML_SUPPORT
TXN00394,EXCEPTION,CHARGEBACK,4499.25,HIGH,A chargeback was recorded for transaction TXN00394.,Review the chargeback and associated dispute record.,HIGH,DISPUTE_REVIEW,"Review the chargeback record, dispute reason, and supporting transaction information.",YES,EXCEPTION,1.0,CHARGEBACK,0.8,True,True,RULE_CONFIRMED_BY_ML
TXN00397,EXCEPTION,CHARGEBACK,374.25,HIGH,A chargeback was recorded for transaction TXN00397.,Review the chargeback and associated dispute record.,HIGH,DISPUTE_REVIEW,"Review the chargeback record, dispute reason, and supporting transaction information.",YES,EXCEPTION,0.99,CHARGEBACK,0.9,True,True,RULE_CONFIRMED_BY_ML
