transaction_id,exception_type,severity,priority,agent_decision,action_type,action_status,requires_human,action_description,next_step,hybrid_decision,execution_mode
TXN00051,MULTIPLE_PAYMENTS,MEDIUM,MEDIUM,ESCALATE_FOR_REVIEW,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,Simulated action for transaction TXN00051: ESCALATE_FOR_REVIEW. Next step: Review all payment records associated with the transaction and determine whether multiple payments were legitimately received.,Review all payment records associated with the transaction and determine whether multiple payments were legitimately received.,RULE_EXCEPTION_ML_SUPPORT,SIMULATED
TXN00054,MISSING_PAYMENT,HIGH,HIGH,ESCALATE_FOR_REVIEW,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,Simulated action for transaction TXN00054: ESCALATE_FOR_REVIEW. Next step: Verify the payment gateway records and confirm whether the payment was received.,Verify the payment gateway records and confirm whether the payment was received.,RULE_CONFIRMED_BY_ML,SIMULATED
TXN00057,MISSING_PAYMENT,HIGH,HIGH,ESCALATE_FOR_REVIEW,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,Simulated action for transaction TXN00057: ESCALATE_FOR_REVIEW. Next step: Verify the payment gateway records and confirm whether the payment was received.,Verify the payment gateway records and confirm whether the payment was received.,RULE_CONFIRMED_BY_ML,SIMULATED
TXN00067,REFUND,HIGH,HIGH,ESCALATE_FOR_REVIEW,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,Simulated action for transaction TXN00067: ESCALATE_FOR_REVIEW. Next step: Verify the refund authorization and confirm that the refund amount and transaction reference are correct.,Verify the refund authorization and confirm that the refund amount and transaction reference are correct.,RULE_CONFIRMED_BY_ML,SIMULATED
TXN00077,DUPLICATE_PAYMENT,MEDIUM,MEDIUM,ESCALATE_FOR_REVIEW,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,Simulated action for transaction TXN00077: ESCALATE_FOR_REVIEW. Next step: Review the duplicate payment records and determine whether a reversal or refund is required.,Review the duplicate payment records and determine whether a reversal or refund is required.,RULE_CONFIRMED_BY_ML,SIMULATED
TXN00086,AMOUNT_MISMATCH,HIGH,HIGH,ESCALATE_FOR_REVIEW,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,Simulated action for transaction TXN00086: ESCALATE_FOR_REVIEW. Next step: Compare the expected transaction amount with the actual settlement amount and identify the cause of the variance.,Compare the expected transaction amount with the actual settlement amount and identify the cause of the variance.,RULE_EXCEPTION_ML_SUPPORT,SIMULATED
TXN00089,WRONG_TRANSACTION_REFERENCE,MEDIUM,MEDIUM,ESCALATE_FOR_REVIEW,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,"Simulated action for transaction TXN00089: ESCALATE_FOR_REVIEW. Next step: Verify the transaction reference across the payment, bank, and settlement records.","Verify the transaction reference across the payment, bank, and settlement records.",RULE_EXCEPTION_ML_SUPPORT,SIMULATED
TXN00093,INCORRECT_FEE,MEDIUM,MEDIUM,FEE_REVIEW,CREATE_FEE_REVIEW,REVIEW_REQUIRED,YES,Simulated action for transaction TXN00093: FEE_REVIEW. Next step: Compare the recorded fee with the expected fee according to the applicable fee structure.,Compare the recorded fee with the expected fee according to the applicable fee structure.,RULE_EXCEPTION_ML_SUPPORT,SIMULATED
TXN00114,MISSING_PAYMENT,HIGH,HIGH,ESCALATE_FOR_REVIEW,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,Simulated action for transaction TXN00114: ESCALATE_FOR_REVIEW. Next step: Verify the payment gateway records and confirm whether the payment was received.,Verify the payment gateway records and confirm whether the payment was received.,RULE_CONFIRMED_BY_ML,SIMULATED
TXN00130,WRONG_TRANSACTION_REFERENCE,MEDIUM,MEDIUM,ESCALATE_FOR_REVIEW,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,"Simulated action for transaction TXN00130: ESCALATE_FOR_REVIEW. Next step: Verify the transaction reference across the payment, bank, and settlement records.","Verify the transaction reference across the payment, bank, and settlement records.",RULE_EXCEPTION_ML_SUPPORT,SIMULATED
TXN00137,WRONG_TRANSACTION_REFERENCE,MEDIUM,MEDIUM,ESCALATE_FOR_REVIEW,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,"Simulated action for transaction TXN00137: ESCALATE_FOR_REVIEW. Next step: Verify the transaction reference across the payment, bank, and settlement records.","Verify the transaction reference across the payment, bank, and settlement records.",RULE_EXCEPTION_ML_DISAGREEMENT,SIMULATED
TXN00150,PARTIAL_SETTLEMENT,MEDIUM,MEDIUM,ESCALATE_FOR_REVIEW,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,Simulated action for transaction TXN00150: ESCALATE_FOR_REVIEW. Next step: Verify whether the remaining settlement amount is pending or was incorrectly omitted.,Verify whether the remaining settlement amount is pending or was incorrectly omitted.,RULE_EXCEPTION_ML_SUPPORT,SIMULATED
TXN00151,MISSING_PAYMENT,HIGH,HIGH,ESCALATE_FOR_REVIEW,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,Simulated action for transaction TXN00151: ESCALATE_FOR_REVIEW. Next step: Verify the payment gateway records and confirm whether the payment was received.,Verify the payment gateway records and confirm whether the payment was received.,RULE_CONFIRMED_BY_ML,SIMULATED
TXN00158,INCORRECT_FEE,MEDIUM,MEDIUM,FEE_REVIEW,CREATE_FEE_REVIEW,REVIEW_REQUIRED,YES,Simulated action for transaction TXN00158: FEE_REVIEW. Next step: Compare the recorded fee with the expected fee according to the applicable fee structure.,Compare the recorded fee with the expected fee according to the applicable fee structure.,RULE_EXCEPTION_ML_SUPPORT,SIMULATED
TXN00175,MISSING_PAYMENT,HIGH,HIGH,ESCALATE_FOR_REVIEW,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,Simulated action for transaction TXN00175: ESCALATE_FOR_REVIEW. Next step: Verify the payment gateway records and confirm whether the payment was received.,Verify the payment gateway records and confirm whether the payment was received.,RULE_CONFIRMED_BY_ML,SIMULATED
TXN00178,DUPLICATE_PAYMENT,MEDIUM,MEDIUM,ESCALATE_FOR_REVIEW,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,Simulated action for transaction TXN00178: ESCALATE_FOR_REVIEW. Next step: Review the duplicate payment records and determine whether a reversal or refund is required.,Review the duplicate payment records and determine whether a reversal or refund is required.,RULE_CONFIRMED_BY_ML,SIMULATED
TXN00179,DATE_MISMATCH,LOW,LOW,DATE_REVIEW,CREATE_DATE_REVIEW,REVIEW_REQUIRED,YES,Simulated action for transaction TXN00179: DATE_REVIEW. Next step: Compare the relevant payment and settlement dates and verify the correct processing date.,Compare the relevant payment and settlement dates and verify the correct processing date.,RULE_EXCEPTION_ML_SUPPORT,SIMULATED
TXN00185,AMOUNT_MISMATCH,HIGH,HIGH,ESCALATE_FOR_REVIEW,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,Simulated action for transaction TXN00185: ESCALATE_FOR_REVIEW. Next step: Compare the expected transaction amount with the actual settlement amount and identify the cause of the variance.,Compare the expected transaction amount with the actual settlement amount and identify the cause of the variance.,RULE_CONFIRMED_BY_ML,SIMULATED
TXN00186,MISSING_PAYMENT,HIGH,HIGH,ESCALATE_FOR_REVIEW,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,Simulated action for transaction TXN00186: ESCALATE_FOR_REVIEW. Next step: Verify the payment gateway records and confirm whether the payment was received.,Verify the payment gateway records and confirm whether the payment was received.,RULE_CONFIRMED_BY_ML,SIMULATED
TXN00189,REFUND,HIGH,HIGH,ESCALATE_FOR_REVIEW,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,Simulated action for transaction TXN00189: ESCALATE_FOR_REVIEW. Next step: Verify the refund authorization and confirm that the refund amount and transaction reference are correct.,Verify the refund authorization and confirm that the refund amount and transaction reference are correct.,RULE_CONFIRMED_BY_ML,SIMULATED
TXN00190,MISSING_SETTLEMENT,HIGH,HIGH,ESCALATE_FOR_REVIEW,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,Simulated action for transaction TXN00190: ESCALATE_FOR_REVIEW. Next step: Verify the settlement batch and check whether the transaction is still pending.,Verify the settlement batch and check whether the transaction is still pending.,RULE_CONFIRMED_BY_ML,SIMULATED
TXN00196,SETTLEMENT_DELAY,LOW,LOW,SETTLEMENT_REVIEW,CREATE_SETTLEMENT_REVIEW,REVIEW_REQUIRED,YES,Simulated action for transaction TXN00196: SETTLEMENT_REVIEW. Next step: Check the settlement processing status and investigate the reason for the delay.,Check the settlement processing status and investigate the reason for the delay.,RULE_EXCEPTION_ML_SUPPORT,SIMULATED
TXN00199,PARTIAL_SETTLEMENT,MEDIUM,MEDIUM,ESCALATE_FOR_REVIEW,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,Simulated action for transaction TXN00199: ESCALATE_FOR_REVIEW. Next step: Verify whether the remaining settlement amount is pending or was incorrectly omitted.,Verify whether the remaining settlement amount is pending or was incorrectly omitted.,RULE_EXCEPTION_ML_SUPPORT,SIMULATED
TXN00201,DUPLICATE_PAYMENT,MEDIUM,MEDIUM,ESCALATE_FOR_REVIEW,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,Simulated action for transaction TXN00201: ESCALATE_FOR_REVIEW. Next step: Review the duplicate payment records and determine whether a reversal or refund is required.,Review the duplicate payment records and determine whether a reversal or refund is required.,RULE_CONFIRMED_BY_ML,SIMULATED
TXN00203,MISSING_SETTLEMENT,HIGH,HIGH,ESCALATE_FOR_REVIEW,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,Simulated action for transaction TXN00203: ESCALATE_FOR_REVIEW. Next step: Verify the settlement batch and check whether the transaction is still pending.,Verify the settlement batch and check whether the transaction is still pending.,RULE_CONFIRMED_BY_ML,SIMULATED
TXN00211,DUPLICATE_SETTLEMENT,MEDIUM,MEDIUM,ESCALATE_FOR_REVIEW,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,Simulated action for transaction TXN00211: ESCALATE_FOR_REVIEW. Next step: Review the settlement records and determine whether the transaction was settled more than once.,Review the settlement records and determine whether the transaction was settled more than once.,RULE_CONFIRMED_BY_ML,SIMULATED
TXN00212,MULTIPLE_PAYMENTS,MEDIUM,MEDIUM,ESCALATE_FOR_REVIEW,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,Simulated action for transaction TXN00212: ESCALATE_FOR_REVIEW. Next step: Review all payment records associated with the transaction and determine whether multiple payments were legitimately received.,Review all payment records associated with the transaction and determine whether multiple payments were legitimately received.,RULE_EXCEPTION_ML_SUPPORT,SIMULATED
TXN00222,MISSING_SETTLEMENT,HIGH,HIGH,ESCALATE_FOR_REVIEW,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,Simulated action for transaction TXN00222: ESCALATE_FOR_REVIEW. Next step: Verify the settlement batch and check whether the transaction is still pending.,Verify the settlement batch and check whether the transaction is still pending.,RULE_CONFIRMED_BY_ML,SIMULATED
TXN00230,PARTIAL_SETTLEMENT,MEDIUM,MEDIUM,ESCALATE_FOR_REVIEW,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,Simulated action for transaction TXN00230: ESCALATE_FOR_REVIEW. Next step: Verify whether the remaining settlement amount is pending or was incorrectly omitted.,Verify whether the remaining settlement amount is pending or was incorrectly omitted.,RULE_EXCEPTION_ML_SUPPORT,SIMULATED
TXN00242,PARTIAL_SETTLEMENT,MEDIUM,MEDIUM,ESCALATE_FOR_REVIEW,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,Simulated action for transaction TXN00242: ESCALATE_FOR_REVIEW. Next step: Verify whether the remaining settlement amount is pending or was incorrectly omitted.,Verify whether the remaining settlement amount is pending or was incorrectly omitted.,RULE_EXCEPTION_ML_SUPPORT,SIMULATED
TXN00248,DUPLICATE_PAYMENT,MEDIUM,MEDIUM,ESCALATE_FOR_REVIEW,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,Simulated action for transaction TXN00248: ESCALATE_FOR_REVIEW. Next step: Review the duplicate payment records and determine whether a reversal or refund is required.,Review the duplicate payment records and determine whether a reversal or refund is required.,RULE_CONFIRMED_BY_ML,SIMULATED
TXN00252,UNKNOWN_ADJUSTMENT,MEDIUM,MEDIUM,ESCALATE_FOR_REVIEW,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,Simulated action for transaction TXN00252: ESCALATE_FOR_REVIEW. Next step: Review the adjustment entry and identify its source and business reason.,Review the adjustment entry and identify its source and business reason.,RULE_CONFIRMED_BY_ML,SIMULATED
TXN00257,SETTLEMENT_DELAY,LOW,LOW,SETTLEMENT_REVIEW,CREATE_SETTLEMENT_REVIEW,REVIEW_REQUIRED,YES,Simulated action for transaction TXN00257: SETTLEMENT_REVIEW. Next step: Check the settlement processing status and investigate the reason for the delay.,Check the settlement processing status and investigate the reason for the delay.,RULE_EXCEPTION_ML_SUPPORT,SIMULATED
TXN00265,MISSING_PAYMENT,HIGH,HIGH,ESCALATE_FOR_REVIEW,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,Simulated action for transaction TXN00265: ESCALATE_FOR_REVIEW. Next step: Verify the payment gateway records and confirm whether the payment was received.,Verify the payment gateway records and confirm whether the payment was received.,RULE_CONFIRMED_BY_ML,SIMULATED
TXN00283,FAILED_PAYMENT,HIGH,HIGH,ESCALATE_FOR_REVIEW,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,Simulated action for transaction TXN00283: ESCALATE_FOR_REVIEW. Next step: Verify the payment failure status and determine whether the payment should be retried or followed up.,Verify the payment failure status and determine whether the payment should be retried or followed up.,RULE_CONFIRMED_BY_ML,SIMULATED
TXN00288,FAILED_PAYMENT,HIGH,HIGH,ESCALATE_FOR_REVIEW,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,Simulated action for transaction TXN00288: ESCALATE_FOR_REVIEW. Next step: Verify the payment failure status and determine whether the payment should be retried or followed up.,Verify the payment failure status and determine whether the payment should be retried or followed up.,RULE_EXCEPTION_ML_SUPPORT,SIMULATED
TXN00291,DUPLICATE_PAYMENT,MEDIUM,MEDIUM,ESCALATE_FOR_REVIEW,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,Simulated action for transaction TXN00291: ESCALATE_FOR_REVIEW. Next step: Review the duplicate payment records and determine whether a reversal or refund is required.,Review the duplicate payment records and determine whether a reversal or refund is required.,RULE_CONFIRMED_BY_ML,SIMULATED
TXN00294,DUPLICATE_SETTLEMENT,MEDIUM,MEDIUM,ESCALATE_FOR_REVIEW,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,Simulated action for transaction TXN00294: ESCALATE_FOR_REVIEW. Next step: Review the settlement records and determine whether the transaction was settled more than once.,Review the settlement records and determine whether the transaction was settled more than once.,RULE_CONFIRMED_BY_ML,SIMULATED
TXN00299,FAILED_PAYMENT,HIGH,HIGH,ESCALATE_FOR_REVIEW,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,Simulated action for transaction TXN00299: ESCALATE_FOR_REVIEW. Next step: Verify the payment failure status and determine whether the payment should be retried or followed up.,Verify the payment failure status and determine whether the payment should be retried or followed up.,RULE_CONFIRMED_BY_ML,SIMULATED
TXN00300,MISSING_SETTLEMENT,HIGH,HIGH,ESCALATE_FOR_REVIEW,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,Simulated action for transaction TXN00300: ESCALATE_FOR_REVIEW. Next step: Verify the settlement batch and check whether the transaction is still pending.,Verify the settlement batch and check whether the transaction is still pending.,RULE_CONFIRMED_BY_ML,SIMULATED
TXN00309,WRONG_TRANSACTION_REFERENCE,MEDIUM,MEDIUM,ESCALATE_FOR_REVIEW,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,"Simulated action for transaction TXN00309: ESCALATE_FOR_REVIEW. Next step: Verify the transaction reference across the payment, bank, and settlement records.","Verify the transaction reference across the payment, bank, and settlement records.",RULE_EXCEPTION_ML_DISAGREEMENT,SIMULATED
TXN00312,CHARGEBACK,HIGH,HIGH,ESCALATE_FOR_REVIEW,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,"Simulated action for transaction TXN00312: ESCALATE_FOR_REVIEW. Next step: Review the chargeback record, dispute reason, and supporting transaction information.","Review the chargeback record, dispute reason, and supporting transaction information.",RULE_CONFIRMED_BY_ML,SIMULATED
TXN00317,PARTIAL_SETTLEMENT,MEDIUM,MEDIUM,ESCALATE_FOR_REVIEW,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,Simulated action for transaction TXN00317: ESCALATE_FOR_REVIEW. Next step: Verify whether the remaining settlement amount is pending or was incorrectly omitted.,Verify whether the remaining settlement amount is pending or was incorrectly omitted.,RULE_EXCEPTION_ML_SUPPORT,SIMULATED
TXN00326,REFUND,HIGH,HIGH,ESCALATE_FOR_REVIEW,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,Simulated action for transaction TXN00326: ESCALATE_FOR_REVIEW. Next step: Verify the refund authorization and confirm that the refund amount and transaction reference are correct.,Verify the refund authorization and confirm that the refund amount and transaction reference are correct.,RULE_CONFIRMED_BY_ML,SIMULATED
TXN00328,WRONG_TRANSACTION_REFERENCE,MEDIUM,MEDIUM,ESCALATE_FOR_REVIEW,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,"Simulated action for transaction TXN00328: ESCALATE_FOR_REVIEW. Next step: Verify the transaction reference across the payment, bank, and settlement records.","Verify the transaction reference across the payment, bank, and settlement records.",RULE_EXCEPTION_ML_SUPPORT,SIMULATED
TXN00331,CHARGEBACK,HIGH,HIGH,ESCALATE_FOR_REVIEW,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,"Simulated action for transaction TXN00331: ESCALATE_FOR_REVIEW. Next step: Review the chargeback record, dispute reason, and supporting transaction information.","Review the chargeback record, dispute reason, and supporting transaction information.",RULE_CONFIRMED_BY_ML,SIMULATED
TXN00335,MISSING_SETTLEMENT,HIGH,HIGH,ESCALATE_FOR_REVIEW,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,Simulated action for transaction TXN00335: ESCALATE_FOR_REVIEW. Next step: Verify the settlement batch and check whether the transaction is still pending.,Verify the settlement batch and check whether the transaction is still pending.,RULE_CONFIRMED_BY_ML,SIMULATED
TXN00337,AMOUNT_MISMATCH,HIGH,HIGH,ESCALATE_FOR_REVIEW,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,Simulated action for transaction TXN00337: ESCALATE_FOR_REVIEW. Next step: Compare the expected transaction amount with the actual settlement amount and identify the cause of the variance.,Compare the expected transaction amount with the actual settlement amount and identify the cause of the variance.,RULE_CONFIRMED_BY_ML,SIMULATED
TXN00343,WRONG_TRANSACTION_REFERENCE,MEDIUM,MEDIUM,ESCALATE_FOR_REVIEW,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,"Simulated action for transaction TXN00343: ESCALATE_FOR_REVIEW. Next step: Verify the transaction reference across the payment, bank, and settlement records.","Verify the transaction reference across the payment, bank, and settlement records.",RULE_EXCEPTION_ML_SUPPORT,SIMULATED
TXN00350,DATE_MISMATCH,LOW,LOW,DATE_REVIEW,CREATE_DATE_REVIEW,REVIEW_REQUIRED,YES,Simulated action for transaction TXN00350: DATE_REVIEW. Next step: Compare the relevant payment and settlement dates and verify the correct processing date.,Compare the relevant payment and settlement dates and verify the correct processing date.,RULE_EXCEPTION_ML_SUPPORT,SIMULATED
TXN00351,AMOUNT_MISMATCH,HIGH,HIGH,ESCALATE_FOR_REVIEW,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,Simulated action for transaction TXN00351: ESCALATE_FOR_REVIEW. Next step: Compare the expected transaction amount with the actual settlement amount and identify the cause of the variance.,Compare the expected transaction amount with the actual settlement amount and identify the cause of the variance.,RULE_EXCEPTION_ML_SUPPORT,SIMULATED
TXN00355,AMOUNT_MISMATCH,HIGH,HIGH,ESCALATE_FOR_REVIEW,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,Simulated action for transaction TXN00355: ESCALATE_FOR_REVIEW. Next step: Compare the expected transaction amount with the actual settlement amount and identify the cause of the variance.,Compare the expected transaction amount with the actual settlement amount and identify the cause of the variance.,RULE_EXCEPTION_ML_SUPPORT,SIMULATED
TXN00356,REFUND,HIGH,HIGH,ESCALATE_FOR_REVIEW,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,Simulated action for transaction TXN00356: ESCALATE_FOR_REVIEW. Next step: Verify the refund authorization and confirm that the refund amount and transaction reference are correct.,Verify the refund authorization and confirm that the refund amount and transaction reference are correct.,RULE_CONFIRMED_BY_ML,SIMULATED
TXN00360,REFUND,HIGH,HIGH,ESCALATE_FOR_REVIEW,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,Simulated action for transaction TXN00360: ESCALATE_FOR_REVIEW. Next step: Verify the refund authorization and confirm that the refund amount and transaction reference are correct.,Verify the refund authorization and confirm that the refund amount and transaction reference are correct.,RULE_CONFIRMED_BY_ML,SIMULATED
TXN00362,INCORRECT_FEE,MEDIUM,MEDIUM,FEE_REVIEW,CREATE_FEE_REVIEW,REVIEW_REQUIRED,YES,Simulated action for transaction TXN00362: FEE_REVIEW. Next step: Compare the recorded fee with the expected fee according to the applicable fee structure.,Compare the recorded fee with the expected fee according to the applicable fee structure.,RULE_EXCEPTION_ML_SUPPORT,SIMULATED
TXN00365,MISSING_SETTLEMENT,HIGH,HIGH,ESCALATE_FOR_REVIEW,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,Simulated action for transaction TXN00365: ESCALATE_FOR_REVIEW. Next step: Verify the settlement batch and check whether the transaction is still pending.,Verify the settlement batch and check whether the transaction is still pending.,RULE_CONFIRMED_BY_ML,SIMULATED
TXN00366,AMOUNT_MISMATCH,HIGH,HIGH,ESCALATE_FOR_REVIEW,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,Simulated action for transaction TXN00366: ESCALATE_FOR_REVIEW. Next step: Compare the expected transaction amount with the actual settlement amount and identify the cause of the variance.,Compare the expected transaction amount with the actual settlement amount and identify the cause of the variance.,RULE_EXCEPTION_ML_SUPPORT,SIMULATED
TXN00370,MISSING_PAYMENT,HIGH,HIGH,ESCALATE_FOR_REVIEW,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,Simulated action for transaction TXN00370: ESCALATE_FOR_REVIEW. Next step: Verify the payment gateway records and confirm whether the payment was received.,Verify the payment gateway records and confirm whether the payment was received.,RULE_CONFIRMED_BY_ML,SIMULATED
TXN00375,PARTIAL_SETTLEMENT,MEDIUM,MEDIUM,ESCALATE_FOR_REVIEW,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,Simulated action for transaction TXN00375: ESCALATE_FOR_REVIEW. Next step: Verify whether the remaining settlement amount is pending or was incorrectly omitted.,Verify whether the remaining settlement amount is pending or was incorrectly omitted.,RULE_CONFIRMED_BY_ML,SIMULATED
TXN00376,DATE_MISMATCH,LOW,LOW,DATE_REVIEW,CREATE_DATE_REVIEW,REVIEW_REQUIRED,YES,Simulated action for transaction TXN00376: DATE_REVIEW. Next step: Compare the relevant payment and settlement dates and verify the correct processing date.,Compare the relevant payment and settlement dates and verify the correct processing date.,RULE_EXCEPTION_ML_DISAGREEMENT,SIMULATED
TXN00382,MULTIPLE_PAYMENTS,MEDIUM,MEDIUM,ESCALATE_FOR_REVIEW,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,Simulated action for transaction TXN00382: ESCALATE_FOR_REVIEW. Next step: Review all payment records associated with the transaction and determine whether multiple payments were legitimately received.,Review all payment records associated with the transaction and determine whether multiple payments were legitimately received.,RULE_EXCEPTION_ML_SUPPORT,SIMULATED
TXN00387,MISSING_SETTLEMENT,HIGH,HIGH,ESCALATE_FOR_REVIEW,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,Simulated action for transaction TXN00387: ESCALATE_FOR_REVIEW. Next step: Verify the settlement batch and check whether the transaction is still pending.,Verify the settlement batch and check whether the transaction is still pending.,RULE_CONFIRMED_BY_ML,SIMULATED
