transaction_id,rule_status,rule_exception_type,ml_exception_prediction,ml_exception_probability,ml_predicted_exception_type,ml_exception_type_probability,ml_status,ml_agrees_with_rule_status,ml_agrees_with_rule_exception_type,hybrid_decision
TXN00050,EXCEPTION,AMOUNT_MISMATCH,1,1.0,AMOUNT_MISMATCH,0.91,EXCEPTION,True,True,RULE_CONFIRMED_BY_ML
TXN00051,EXCEPTION,MULTIPLE_PAYMENTS,1,0.98,MULTIPLE_PAYMENTS,0.755,EXCEPTION,True,True,RULE_EXCEPTION_ML_SUPPORT
TXN00052,MATCHED,MATCHED,0,0.0,NONE,0.99,MATCHED,True,False,RULE_MATCHED
TXN00053,MATCHED,MATCHED,0,0.1,NONE,0.965,MATCHED,True,False,RULE_MATCHED
TXN00054,EXCEPTION,MISSING_PAYMENT,1,1.0,MISSING_PAYMENT,1.0,EXCEPTION,True,True,RULE_CONFIRMED_BY_ML
TXN00055,MATCHED,MATCHED,0,0.0,NONE,0.995,MATCHED,True,False,RULE_MATCHED
TXN00056,MATCHED,MATCHED,0,0.015,NONE,0.965,MATCHED,True,False,RULE_MATCHED
TXN00057,EXCEPTION,MISSING_PAYMENT,1,1.0,MISSING_PAYMENT,0.98,EXCEPTION,True,True,RULE_CONFIRMED_BY_ML
TXN00058,MATCHED,MATCHED,0,0.0,NONE,1.0,MATCHED,True,False,RULE_MATCHED
TXN00059,MATCHED,MATCHED,0,0.005,NONE,0.995,MATCHED,True,False,RULE_MATCHED
TXN00060,MATCHED,MATCHED,0,0.02,NONE,0.99,MATCHED,True,False,RULE_MATCHED
TXN00061,MATCHED,MATCHED,0,0.0,NONE,0.99,MATCHED,True,False,RULE_MATCHED
TXN00062,MATCHED,MATCHED,0,0.05,NONE,0.96,MATCHED,True,False,RULE_MATCHED
TXN00063,MATCHED,MATCHED,0,0.49569885669885655,SETTLEMENT_DELAY,0.5850172324693067,MATCHED,True,False,RULE_MATCHED
TXN00064,MATCHED,MATCHED,0,0.005,NONE,0.995,MATCHED,True,False,RULE_MATCHED
TXN00065,MATCHED,MATCHED,0,0.0,NONE,0.98,MATCHED,True,False,RULE_MATCHED
TXN00066,MATCHED,MATCHED,0,0.015,NONE,1.0,MATCHED,True,False,RULE_MATCHED
TXN00067,EXCEPTION,REFUND,1,1.0,REFUND,0.88,EXCEPTION,True,True,RULE_CONFIRMED_BY_ML
TXN00068,MATCHED,MATCHED,0,0.045,NONE,0.83,MATCHED,True,False,RULE_MATCHED
TXN00069,MATCHED,MATCHED,1,0.5467499411493216,NONE,0.995,EXCEPTION,False,False,RULE_MATCHED
TXN00070,MATCHED,MATCHED,0,0.07,NONE,0.925,MATCHED,True,False,RULE_MATCHED
TXN00071,MATCHED,MATCHED,0,0.015,NONE,1.0,MATCHED,True,False,RULE_MATCHED
TXN00072,MATCHED,MATCHED,0,0.0,NONE,1.0,MATCHED,True,False,RULE_MATCHED
TXN00073,MATCHED,MATCHED,0,0.08,NONE,0.93,MATCHED,True,False,RULE_MATCHED
TXN00074,MATCHED,MATCHED,0,0.0,NONE,1.0,MATCHED,True,False,RULE_MATCHED
TXN00075,MATCHED,MATCHED,0,0.0,NONE,1.0,MATCHED,True,False,RULE_MATCHED
TXN00076,MATCHED,MATCHED,0,0.005,NONE,0.995,MATCHED,True,False,RULE_MATCHED
TXN00077,EXCEPTION,DUPLICATE_PAYMENT,1,0.975,DUPLICATE_PAYMENT,0.89,EXCEPTION,True,True,RULE_CONFIRMED_BY_ML
TXN00078,MATCHED,MATCHED,0,0.0,NONE,0.995,MATCHED,True,False,RULE_MATCHED
TXN00079,MATCHED,MATCHED,0,0.005,NONE,0.99,MATCHED,True,False,RULE_MATCHED
TXN00080,MATCHED,MATCHED,0,0.009000000000000001,NONE,1.0,MATCHED,True,False,RULE_MATCHED
TXN00081,MATCHED,MATCHED,0,0.0,NONE,0.985,MATCHED,True,False,RULE_MATCHED
TXN00082,MATCHED,MATCHED,0,0.005,NONE,0.995,MATCHED,True,False,RULE_MATCHED
TXN00083,MATCHED,MATCHED,0,0.007857142857142858,NONE,1.0,MATCHED,True,False,RULE_MATCHED
TXN00084,MATCHED,MATCHED,0,0.0,NONE,1.0,MATCHED,True,False,RULE_MATCHED
TXN00085,MATCHED,MATCHED,0,0.045,NONE,0.975,MATCHED,True,False,RULE_MATCHED
TXN00086,EXCEPTION,AMOUNT_MISMATCH,1,0.975,AMOUNT_MISMATCH,0.735,EXCEPTION,True,True,RULE_EXCEPTION_ML_SUPPORT
TXN00087,MATCHED,MATCHED,0,0.03,NONE,0.965,MATCHED,True,False,RULE_MATCHED
TXN00088,MATCHED,MATCHED,0,0.01,NONE,1.0,MATCHED,True,False,RULE_MATCHED
TXN00089,EXCEPTION,WRONG_TRANSACTION_REFERENCE,1,0.695,NONE,0.935,EXCEPTION,True,False,RULE_EXCEPTION_ML_SUPPORT
TXN00090,MATCHED,MATCHED,0,0.015,NONE,0.995,MATCHED,True,False,RULE_MATCHED
TXN00091,MATCHED,MATCHED,0,0.095,NONE,0.945,MATCHED,True,False,RULE_MATCHED
TXN00092,MATCHED,MATCHED,0,0.01,NONE,0.99,MATCHED,True,False,RULE_MATCHED
TXN00093,EXCEPTION,INCORRECT_FEE,1,0.925,INCORRECT_FEE,0.69,EXCEPTION,True,True,RULE_EXCEPTION_ML_SUPPORT
TXN00094,MATCHED,MATCHED,0,0.0,NONE,1.0,MATCHED,True,False,RULE_MATCHED
TXN00095,MATCHED,MATCHED,0,0.0,NONE,0.995,MATCHED,True,False,RULE_MATCHED
TXN00096,MATCHED,MATCHED,0,0.01,NONE,0.98,MATCHED,True,False,RULE_MATCHED
TXN00097,MATCHED,MATCHED,0,0.015,NONE,0.99,MATCHED,True,False,RULE_MATCHED
TXN00098,MATCHED,MATCHED,0,0.005,NONE,0.965,MATCHED,True,False,RULE_MATCHED
TXN00099,MATCHED,MATCHED,0,0.01,NONE,0.98,MATCHED,True,False,RULE_MATCHED
TXN00100,MATCHED,MATCHED,0,0.0,NONE,0.985,MATCHED,True,False,RULE_MATCHED
TXN00101,MATCHED,MATCHED,0,0.025,NONE,0.98,MATCHED,True,False,RULE_MATCHED
TXN00102,MATCHED,MATCHED,0,0.0,NONE,0.995,MATCHED,True,False,RULE_MATCHED
TXN00103,MATCHED,MATCHED,0,0.01,NONE,0.985,MATCHED,True,False,RULE_MATCHED
TXN00104,MATCHED,MATCHED,0,0.035,NONE,0.985,MATCHED,True,False,RULE_MATCHED
TXN00105,MATCHED,MATCHED,0,0.01,NONE,0.98,MATCHED,True,False,RULE_MATCHED
TXN00106,MATCHED,MATCHED,0,0.01,NONE,1.0,MATCHED,True,False,RULE_MATCHED
TXN00107,MATCHED,MATCHED,0,0.01,NONE,0.945,MATCHED,True,False,RULE_MATCHED
TXN00108,MATCHED,MATCHED,0,0.0,NONE,0.99,MATCHED,True,False,RULE_MATCHED
TXN00109,MATCHED,MATCHED,0,0.0,NONE,1.0,MATCHED,True,False,RULE_MATCHED
TXN00110,MATCHED,MATCHED,0,0.17,NONE,0.975,MATCHED,True,False,RULE_MATCHED
TXN00111,MATCHED,MATCHED,0,0.02,NONE,0.975,MATCHED,True,False,RULE_MATCHED
TXN00112,MATCHED,MATCHED,0,0.012333333333333333,NONE,0.9850617283950618,MATCHED,True,False,RULE_MATCHED
TXN00113,MATCHED,MATCHED,0,0.0,NONE,1.0,MATCHED,True,False,RULE_MATCHED
TXN00114,EXCEPTION,MISSING_PAYMENT,1,1.0,MISSING_PAYMENT,0.995,EXCEPTION,True,True,RULE_CONFIRMED_BY_ML
TXN00115,MATCHED,MATCHED,0,0.005,NONE,1.0,MATCHED,True,False,RULE_MATCHED
TXN00116,MATCHED,MATCHED,0,0.035,NONE,0.985,MATCHED,True,False,RULE_MATCHED
TXN00117,MATCHED,MATCHED,0,0.01,NONE,0.995,MATCHED,True,False,RULE_MATCHED
TXN00118,MATCHED,MATCHED,0,0.05,NONE,0.945,MATCHED,True,False,RULE_MATCHED
TXN00119,MATCHED,MATCHED,0,0.06,NONE,0.99,MATCHED,True,False,RULE_MATCHED
TXN00120,MATCHED,MATCHED,0,0.0,NONE,1.0,MATCHED,True,False,RULE_MATCHED
TXN00121,MATCHED,MATCHED,0,0.02,NONE,0.9800155763239876,MATCHED,True,False,RULE_MATCHED
TXN00122,MATCHED,MATCHED,0,0.03,NONE,0.995,MATCHED,True,False,RULE_MATCHED
TXN00123,MATCHED,MATCHED,0,0.01,NONE,0.975,MATCHED,True,False,RULE_MATCHED
TXN00124,MATCHED,MATCHED,0,0.01,NONE,0.955,MATCHED,True,False,RULE_MATCHED
TXN00125,MATCHED,MATCHED,0,0.0,NONE,1.0,MATCHED,True,False,RULE_MATCHED
TXN00126,MATCHED,MATCHED,0,0.005,NONE,0.985,MATCHED,True,False,RULE_MATCHED
TXN00127,MATCHED,MATCHED,0,0.01,NONE,0.99,MATCHED,True,False,RULE_MATCHED
TXN00128,MATCHED,MATCHED,0,0.0,NONE,0.99,MATCHED,True,False,RULE_MATCHED
TXN00129,MATCHED,MATCHED,0,0.005,NONE,0.98,MATCHED,True,False,RULE_MATCHED
TXN00130,EXCEPTION,WRONG_TRANSACTION_REFERENCE,1,0.62,WRONG_TRANSACTION_REFERENCE,0.64,EXCEPTION,True,True,RULE_EXCEPTION_ML_SUPPORT
TXN00131,MATCHED,MATCHED,0,0.005,NONE,0.995,MATCHED,True,False,RULE_MATCHED
TXN00132,MATCHED,MATCHED,0,0.0,NONE,0.995,MATCHED,True,False,RULE_MATCHED
TXN00133,MATCHED,MATCHED,0,0.005,NONE,0.985,MATCHED,True,False,RULE_MATCHED
TXN00134,MATCHED,MATCHED,0,0.0,NONE,1.0,MATCHED,True,False,RULE_MATCHED
TXN00135,MATCHED,MATCHED,0,0.0,NONE,1.0,MATCHED,True,False,RULE_MATCHED
TXN00136,MATCHED,MATCHED,0,0.06852380952380951,NONE,0.9203984151297689,MATCHED,True,False,RULE_MATCHED
TXN00137,EXCEPTION,WRONG_TRANSACTION_REFERENCE,0,0.009000000000000001,NONE,0.995,MATCHED,False,False,RULE_EXCEPTION_ML_DISAGREEMENT
TXN00138,MATCHED,MATCHED,0,0.0,NONE,1.0,MATCHED,True,False,RULE_MATCHED
TXN00139,MATCHED,MATCHED,0,0.055,NONE,0.975,MATCHED,True,False,RULE_MATCHED
TXN00140,MATCHED,MATCHED,0,0.002857142857142857,NONE,1.0,MATCHED,True,False,RULE_MATCHED
TXN00141,MATCHED,MATCHED,0,0.015,NONE,0.9650310559006211,MATCHED,True,False,RULE_MATCHED
TXN00142,MATCHED,MATCHED,0,0.0,NONE,1.0,MATCHED,True,False,RULE_MATCHED
TXN00143,MATCHED,MATCHED,0,0.0,NONE,1.0,MATCHED,True,False,RULE_MATCHED
TXN00144,MATCHED,MATCHED,0,0.04,NONE,0.95,MATCHED,True,False,RULE_MATCHED
TXN00145,MATCHED,MATCHED,0,0.01,NONE,0.955,MATCHED,True,False,RULE_MATCHED
TXN00146,MATCHED,MATCHED,0,0.0,NONE,0.995,MATCHED,True,False,RULE_MATCHED
TXN00147,MATCHED,MATCHED,0,0.0,NONE,0.995,MATCHED,True,False,RULE_MATCHED
TXN00148,MATCHED,MATCHED,0,0.0,NONE,0.99,MATCHED,True,False,RULE_MATCHED
TXN00149,MATCHED,MATCHED,0,0.005,NONE,0.99,MATCHED,True,False,RULE_MATCHED
TXN00150,EXCEPTION,PARTIAL_SETTLEMENT,1,0.965,PARTIAL_SETTLEMENT,0.74,EXCEPTION,True,True,RULE_EXCEPTION_ML_SUPPORT
TXN00151,EXCEPTION,MISSING_PAYMENT,1,1.0,MISSING_PAYMENT,1.0,EXCEPTION,True,True,RULE_CONFIRMED_BY_ML
TXN00152,MATCHED,MATCHED,0,0.055,NONE,0.9651219512195123,MATCHED,True,False,RULE_MATCHED
TXN00153,MATCHED,MATCHED,0,0.0,NONE,0.98,MATCHED,True,False,RULE_MATCHED
TXN00154,MATCHED,MATCHED,0,0.01,NONE,1.0,MATCHED,True,False,RULE_MATCHED
TXN00155,MATCHED,MATCHED,0,0.0,NONE,0.985,MATCHED,True,False,RULE_MATCHED
TXN00156,MATCHED,MATCHED,0,0.105,NONE,0.855,MATCHED,True,False,RULE_MATCHED
TXN00157,MATCHED,MATCHED,0,0.0,NONE,1.0,MATCHED,True,False,RULE_MATCHED
TXN00158,EXCEPTION,INCORRECT_FEE,1,0.945,INCORRECT_FEE,0.375,EXCEPTION,True,True,RULE_EXCEPTION_ML_SUPPORT
TXN00159,MATCHED,MATCHED,0,0.04,NONE,0.99,MATCHED,True,False,RULE_MATCHED
TXN00160,MATCHED,MATCHED,0,0.04,NONE,0.985,MATCHED,True,False,RULE_MATCHED
TXN00161,MATCHED,MATCHED,0,0.005,NONE,0.99,MATCHED,True,False,RULE_MATCHED
TXN00162,MATCHED,MATCHED,0,0.0,NONE,0.985,MATCHED,True,False,RULE_MATCHED
TXN00163,MATCHED,MATCHED,0,0.018,NONE,1.0,MATCHED,True,False,RULE_MATCHED
TXN00164,MATCHED,MATCHED,0,0.125,NONE,0.925,MATCHED,True,False,RULE_MATCHED
TXN00165,MATCHED,MATCHED,0,0.012636363636363637,NONE,0.985,MATCHED,True,False,RULE_MATCHED
TXN00166,MATCHED,MATCHED,0,0.01,NONE,0.985,MATCHED,True,False,RULE_MATCHED
TXN00167,MATCHED,MATCHED,0,0.01,NONE,0.995,MATCHED,True,False,RULE_MATCHED
TXN00168,MATCHED,MATCHED,0,0.03,NONE,0.84,MATCHED,True,False,RULE_MATCHED
TXN00169,MATCHED,MATCHED,0,0.0,NONE,0.995,MATCHED,True,False,RULE_MATCHED
TXN00170,MATCHED,MATCHED,0,0.01,NONE,0.965,MATCHED,True,False,RULE_MATCHED
TXN00171,MATCHED,MATCHED,0,0.025,NONE,0.885,MATCHED,True,False,RULE_MATCHED
TXN00172,MATCHED,MATCHED,0,0.0,NONE,0.815,MATCHED,True,False,RULE_MATCHED
TXN00173,MATCHED,MATCHED,0,0.0,NONE,1.0,MATCHED,True,False,RULE_MATCHED
TXN00174,MATCHED,MATCHED,0,0.0,NONE,0.975,MATCHED,True,False,RULE_MATCHED
TXN00175,EXCEPTION,MISSING_PAYMENT,1,1.0,MISSING_PAYMENT,0.995,EXCEPTION,True,True,RULE_CONFIRMED_BY_ML
TXN00176,MATCHED,MATCHED,0,0.02,NONE,0.9,MATCHED,True,False,RULE_MATCHED
TXN00177,MATCHED,MATCHED,0,0.015,NONE,0.96,MATCHED,True,False,RULE_MATCHED
TXN00178,EXCEPTION,DUPLICATE_PAYMENT,1,0.99,DUPLICATE_PAYMENT,0.91,EXCEPTION,True,True,RULE_CONFIRMED_BY_ML
TXN00179,EXCEPTION,DATE_MISMATCH,1,0.6,DATE_MISMATCH,0.62,EXCEPTION,True,True,RULE_EXCEPTION_ML_SUPPORT
TXN00180,MATCHED,MATCHED,0,0.015,NONE,0.99,MATCHED,True,False,RULE_MATCHED
TXN00181,MATCHED,MATCHED,0,0.027333333333333334,NONE,1.0,MATCHED,True,False,RULE_MATCHED
TXN00182,MATCHED,MATCHED,0,0.0,NONE,1.0,MATCHED,True,False,RULE_MATCHED
TXN00183,MATCHED,MATCHED,0,0.0,NONE,0.99,MATCHED,True,False,RULE_MATCHED
TXN00184,MATCHED,MATCHED,0,0.025,NONE,0.99,MATCHED,True,False,RULE_MATCHED
TXN00185,EXCEPTION,AMOUNT_MISMATCH,1,0.975,AMOUNT_MISMATCH,0.865,EXCEPTION,True,True,RULE_CONFIRMED_BY_ML
TXN00186,EXCEPTION,MISSING_PAYMENT,1,1.0,MISSING_PAYMENT,0.995,EXCEPTION,True,True,RULE_CONFIRMED_BY_ML
TXN00187,MATCHED,MATCHED,0,0.005,NONE,0.975,MATCHED,True,False,RULE_MATCHED
TXN00188,MATCHED,MATCHED,0,0.035,NONE,0.985,MATCHED,True,False,RULE_MATCHED
TXN00189,EXCEPTION,REFUND,1,1.0,REFUND,0.955,EXCEPTION,True,True,RULE_CONFIRMED_BY_ML
TXN00190,EXCEPTION,MISSING_SETTLEMENT,1,1.0,MISSING_SETTLEMENT,1.0,EXCEPTION,True,True,RULE_CONFIRMED_BY_ML
TXN00191,MATCHED,MATCHED,0,0.025,NONE,0.935,MATCHED,True,False,RULE_MATCHED
TXN00192,MATCHED,MATCHED,0,0.004,NONE,1.0,MATCHED,True,False,RULE_MATCHED
TXN00193,MATCHED,MATCHED,0,0.01,NONE,1.0,MATCHED,True,False,RULE_MATCHED
TXN00194,MATCHED,MATCHED,0,0.0,NONE,0.995,MATCHED,True,False,RULE_MATCHED
TXN00195,MATCHED,MATCHED,0,0.005,NONE,0.985,MATCHED,True,False,RULE_MATCHED
TXN00196,EXCEPTION,SETTLEMENT_DELAY,1,0.62,SETTLEMENT_DELAY,0.665,EXCEPTION,True,True,RULE_EXCEPTION_ML_SUPPORT
TXN00197,MATCHED,MATCHED,0,0.05,NONE,0.975,MATCHED,True,False,RULE_MATCHED
TXN00198,MATCHED,MATCHED,0,0.0,NONE,0.99,MATCHED,True,False,RULE_MATCHED
TXN00199,EXCEPTION,PARTIAL_SETTLEMENT,1,0.99,PARTIAL_SETTLEMENT,0.76,EXCEPTION,True,True,RULE_EXCEPTION_ML_SUPPORT
TXN00200,MATCHED,MATCHED,0,0.01,NONE,1.0,MATCHED,True,False,RULE_MATCHED
TXN00201,EXCEPTION,DUPLICATE_PAYMENT,1,0.98,DUPLICATE_PAYMENT,0.9,EXCEPTION,True,True,RULE_CONFIRMED_BY_ML
TXN00202,MATCHED,MATCHED,0,0.0,NONE,0.995,MATCHED,True,False,RULE_MATCHED
TXN00203,EXCEPTION,MISSING_SETTLEMENT,1,1.0,MISSING_SETTLEMENT,1.0,EXCEPTION,True,True,RULE_CONFIRMED_BY_ML
TXN00204,MATCHED,MATCHED,0,0.01,NONE,0.98,MATCHED,True,False,RULE_MATCHED
TXN00205,MATCHED,MATCHED,0,0.01,NONE,1.0,MATCHED,True,False,RULE_MATCHED
TXN00206,MATCHED,MATCHED,0,0.175,NONE,0.955,MATCHED,True,False,RULE_MATCHED
TXN00207,MATCHED,MATCHED,0,0.0,NONE,0.99,MATCHED,True,False,RULE_MATCHED
TXN00208,MATCHED,MATCHED,0,0.01,NONE,0.99,MATCHED,True,False,RULE_MATCHED
TXN00209,MATCHED,MATCHED,0,0.0,NONE,0.995,MATCHED,True,False,RULE_MATCHED
TXN00210,MATCHED,MATCHED,0,0.01,NONE,0.98,MATCHED,True,False,RULE_MATCHED
TXN00211,EXCEPTION,DUPLICATE_SETTLEMENT,1,0.935,DUPLICATE_SETTLEMENT,0.98,EXCEPTION,True,True,RULE_CONFIRMED_BY_ML
TXN00212,EXCEPTION,MULTIPLE_PAYMENTS,1,0.995,MULTIPLE_PAYMENTS,0.79,EXCEPTION,True,True,RULE_EXCEPTION_ML_SUPPORT
TXN00213,MATCHED,MATCHED,0,0.15,NONE,0.9,MATCHED,True,False,RULE_MATCHED
TXN00214,MATCHED,MATCHED,0,0.0,NONE,0.995,MATCHED,True,False,RULE_MATCHED
TXN00215,MATCHED,MATCHED,0,0.005,NONE,0.985,MATCHED,True,False,RULE_MATCHED
TXN00216,MATCHED,MATCHED,0,0.027999999999999997,NONE,0.985,MATCHED,True,False,RULE_MATCHED
TXN00217,MATCHED,MATCHED,0,0.16444444444444442,NONE,0.935,MATCHED,True,False,RULE_MATCHED
TXN00218,MATCHED,MATCHED,0,0.01,NONE,0.995,MATCHED,True,False,RULE_MATCHED
TXN00219,MATCHED,MATCHED,0,0.0,NONE,1.0,MATCHED,True,False,RULE_MATCHED
TXN00220,MATCHED,MATCHED,0,0.035,NONE,0.98,MATCHED,True,False,RULE_MATCHED
TXN00221,MATCHED,MATCHED,0,0.035,NONE,0.95,MATCHED,True,False,RULE_MATCHED
TXN00222,EXCEPTION,MISSING_SETTLEMENT,1,1.0,MISSING_SETTLEMENT,1.0,EXCEPTION,True,True,RULE_CONFIRMED_BY_ML
TXN00223,MATCHED,MATCHED,0,0.01,NONE,0.995,MATCHED,True,False,RULE_MATCHED
TXN00224,MATCHED,MATCHED,0,0.0,NONE,0.985,MATCHED,True,False,RULE_MATCHED
TXN00225,MATCHED,MATCHED,0,0.015,NONE,0.925,MATCHED,True,False,RULE_MATCHED
TXN00226,MATCHED,MATCHED,0,0.05,NONE,0.985,MATCHED,True,False,RULE_MATCHED
TXN00227,MATCHED,MATCHED,0,0.03,NONE,0.975,MATCHED,True,False,RULE_MATCHED
TXN00228,MATCHED,MATCHED,0,0.005,NONE,0.985,MATCHED,True,False,RULE_MATCHED
TXN00229,MATCHED,MATCHED,0,0.01,NONE,0.94,MATCHED,True,False,RULE_MATCHED
TXN00230,EXCEPTION,PARTIAL_SETTLEMENT,1,1.0,PARTIAL_SETTLEMENT,0.765,EXCEPTION,True,True,RULE_EXCEPTION_ML_SUPPORT
TXN00231,MATCHED,MATCHED,0,0.04333333333333333,NONE,0.9800920245398772,MATCHED,True,False,RULE_MATCHED
TXN00232,MATCHED,MATCHED,0,0.0,NONE,0.99,MATCHED,True,False,RULE_MATCHED
TXN00233,MATCHED,MATCHED,0,0.0,NONE,1.0,MATCHED,True,False,RULE_MATCHED
TXN00234,MATCHED,MATCHED,0,0.0,NONE,0.99,MATCHED,True,False,RULE_MATCHED
TXN00235,MATCHED,MATCHED,0,0.015,NONE,0.995,MATCHED,True,False,RULE_MATCHED
TXN00236,MATCHED,MATCHED,0,0.01,NONE,0.985,MATCHED,True,False,RULE_MATCHED
TXN00237,MATCHED,MATCHED,0,0.0,NONE,0.975,MATCHED,True,False,RULE_MATCHED
TXN00238,MATCHED,MATCHED,0,0.012333333333333333,NONE,1.0,MATCHED,True,False,RULE_MATCHED
TXN00239,MATCHED,MATCHED,0,0.125,NONE,0.995,MATCHED,True,False,RULE_MATCHED
