transaction_id,exception_type,severity,difference,explanation,recommended_action,priority,resolution_category,next_step,escalation_required,ml_status,ml_exception_probability,ml_predicted_exception_type,ml_exception_type_probability,hybrid_decision,agent_decision,agent_decision_reason,action_type,action_status,requires_human,execution_mode,escalation_priority,escalation_reason,escalation_status,review_owner,escalation_mode
TXN00054,MISSING_PAYMENT,HIGH,1999.0,No payment record was found for transaction TXN00054.,Verify payment gateway records and confirm whether the payment was received.,HIGH,PAYMENT_REVIEW,Verify the payment gateway records and confirm whether the payment was received.,YES,EXCEPTION,1.0,MISSING_PAYMENT,1.0,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,SIMULATED,URGENT,High-severity MISSING_PAYMENT requires human financial review.,OPEN,RECONCILIATION_TEAM,SIMULATED
TXN00057,MISSING_PAYMENT,HIGH,5999.0,No payment record was found for transaction TXN00057.,Verify payment gateway records and confirm whether the payment was received.,HIGH,PAYMENT_REVIEW,Verify the payment gateway records and confirm whether the payment was received.,YES,EXCEPTION,1.0,MISSING_PAYMENT,0.98,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,SIMULATED,URGENT,High-severity MISSING_PAYMENT requires human financial review.,OPEN,RECONCILIATION_TEAM,SIMULATED
TXN00067,REFUND,HIGH,374.75,A refund was recorded for transaction TXN00067.,Verify the refund authorization and confirm that the refund amount is correct.,HIGH,REFUND_REVIEW,Verify the refund authorization and confirm that the refund amount and transaction reference are correct.,YES,EXCEPTION,1.0,REFUND,0.88,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,SIMULATED,URGENT,High-severity REFUND requires human financial review.,OPEN,RECONCILIATION_TEAM,SIMULATED
TXN00077,DUPLICATE_PAYMENT,MEDIUM,299.0,"Multiple payment records were found for transaction TXN00077, including a duplicate payment.",Verify the duplicate payment records and determine whether a reversal or refund is required.,MEDIUM,DUPLICATE_REVIEW,Review the duplicate payment records and determine whether a reversal or refund is required.,YES,EXCEPTION,0.975,DUPLICATE_PAYMENT,0.89,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The resolution workflow requires this exception to be escalated for review.,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,SIMULATED,HIGH,The DUPLICATE_PAYMENT exception requires human review according to the reconciliation resolution policy.,OPEN,RECONCILIATION_TEAM,SIMULATED
TXN00086,AMOUNT_MISMATCH,HIGH,250.0,The settlement amount does not match the clean reference amount.,Compare the expected and actual settlement amounts and investigate the difference.,HIGH,FINANCIAL_REVIEW,Compare the expected transaction amount with the actual settlement amount and identify the cause of the variance.,YES,EXCEPTION,0.975,AMOUNT_MISMATCH,0.735,RULE_EXCEPTION_ML_SUPPORT,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,SIMULATED,URGENT,High-severity AMOUNT_MISMATCH requires human financial review.,OPEN,RECONCILIATION_TEAM,SIMULATED
TXN00089,WRONG_TRANSACTION_REFERENCE,MEDIUM,0.0,The bank reference does not match transaction TXN00089.,Verify the bank reference and correct the transaction mapping if required.,MEDIUM,REFERENCE_REVIEW,"Verify the transaction reference across the payment, bank, and settlement records.",YES,EXCEPTION,0.695,NONE,0.935,RULE_EXCEPTION_ML_SUPPORT,ESCALATE_FOR_REVIEW,The resolution workflow requires this exception to be escalated for review.,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,SIMULATED,HIGH,The WRONG_TRANSACTION_REFERENCE exception requires human review according to the reconciliation resolution policy.,OPEN,RECONCILIATION_TEAM,SIMULATED
TXN00114,MISSING_PAYMENT,HIGH,999.0,No payment record was found for transaction TXN00114.,Verify payment gateway records and confirm whether the payment was received.,HIGH,PAYMENT_REVIEW,Verify the payment gateway records and confirm whether the payment was received.,YES,EXCEPTION,1.0,MISSING_PAYMENT,0.995,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,SIMULATED,URGENT,High-severity MISSING_PAYMENT requires human financial review.,OPEN,RECONCILIATION_TEAM,SIMULATED
TXN00130,WRONG_TRANSACTION_REFERENCE,MEDIUM,0.0,The bank reference does not match transaction TXN00130.,Verify the bank reference and correct the transaction mapping if required.,MEDIUM,REFERENCE_REVIEW,"Verify the transaction reference across the payment, bank, and settlement records.",YES,EXCEPTION,0.62,WRONG_TRANSACTION_REFERENCE,0.64,RULE_EXCEPTION_ML_SUPPORT,ESCALATE_FOR_REVIEW,The resolution workflow requires this exception to be escalated for review.,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,SIMULATED,HIGH,The WRONG_TRANSACTION_REFERENCE exception requires human review according to the reconciliation resolution policy.,OPEN,RECONCILIATION_TEAM,SIMULATED
TXN00137,WRONG_TRANSACTION_REFERENCE,MEDIUM,0.0,The bank reference does not match transaction TXN00137.,Verify the bank reference and correct the transaction mapping if required.,MEDIUM,REFERENCE_REVIEW,"Verify the transaction reference across the payment, bank, and settlement records.",YES,MATCHED,0.009,NONE,0.995,RULE_EXCEPTION_ML_DISAGREEMENT,ESCALATE_FOR_REVIEW,"The reconciliation rule identified an exception requiring escalation, while the ML layer disagreed with the rule result.",CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,SIMULATED,HIGH,"Human review required because the deterministic reconciliation rule identified WRONG_TRANSACTION_REFERENCE, but the ML layer disagreed with the rule result.",OPEN,RECONCILIATION_TEAM,SIMULATED
TXN00150,PARTIAL_SETTLEMENT,MEDIUM,1999.8,The settlement amount is lower than the expected gross settlement amount.,Verify whether the remaining amount is pending or was incorrectly settled.,MEDIUM,SETTLEMENT_REVIEW,Verify whether the remaining settlement amount is pending or was incorrectly omitted.,YES,EXCEPTION,0.965,PARTIAL_SETTLEMENT,0.74,RULE_EXCEPTION_ML_SUPPORT,ESCALATE_FOR_REVIEW,The resolution workflow requires this exception to be escalated for review.,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,SIMULATED,HIGH,The PARTIAL_SETTLEMENT exception requires human review according to the reconciliation resolution policy.,OPEN,RECONCILIATION_TEAM,SIMULATED
TXN00151,MISSING_PAYMENT,HIGH,1499.0,No payment record was found for transaction TXN00151.,Verify payment gateway records and confirm whether the payment was received.,HIGH,PAYMENT_REVIEW,Verify the payment gateway records and confirm whether the payment was received.,YES,EXCEPTION,1.0,MISSING_PAYMENT,1.0,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,SIMULATED,URGENT,High-severity MISSING_PAYMENT requires human financial review.,OPEN,RECONCILIATION_TEAM,SIMULATED
TXN00175,MISSING_PAYMENT,HIGH,2499.0,No payment record was found for transaction TXN00175.,Verify payment gateway records and confirm whether the payment was received.,HIGH,PAYMENT_REVIEW,Verify the payment gateway records and confirm whether the payment was received.,YES,EXCEPTION,1.0,MISSING_PAYMENT,0.995,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,SIMULATED,URGENT,High-severity MISSING_PAYMENT requires human financial review.,OPEN,RECONCILIATION_TEAM,SIMULATED
TXN00178,DUPLICATE_PAYMENT,MEDIUM,2999.0,"Multiple payment records were found for transaction TXN00178, including a duplicate payment.",Verify the duplicate payment records and determine whether a reversal or refund is required.,MEDIUM,DUPLICATE_REVIEW,Review the duplicate payment records and determine whether a reversal or refund is required.,YES,EXCEPTION,0.99,DUPLICATE_PAYMENT,0.91,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The resolution workflow requires this exception to be escalated for review.,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,SIMULATED,HIGH,The DUPLICATE_PAYMENT exception requires human review according to the reconciliation resolution policy.,OPEN,RECONCILIATION_TEAM,SIMULATED
TXN00185,AMOUNT_MISMATCH,HIGH,100.0,The settlement amount does not match the clean reference amount.,Compare the expected and actual settlement amounts and investigate the difference.,HIGH,FINANCIAL_REVIEW,Compare the expected transaction amount with the actual settlement amount and identify the cause of the variance.,YES,EXCEPTION,0.975,AMOUNT_MISMATCH,0.865,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,SIMULATED,URGENT,High-severity AMOUNT_MISMATCH requires human financial review.,OPEN,RECONCILIATION_TEAM,SIMULATED
TXN00186,MISSING_PAYMENT,HIGH,2499.0,No payment record was found for transaction TXN00186.,Verify payment gateway records and confirm whether the payment was received.,HIGH,PAYMENT_REVIEW,Verify the payment gateway records and confirm whether the payment was received.,YES,EXCEPTION,1.0,MISSING_PAYMENT,0.995,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,SIMULATED,URGENT,High-severity MISSING_PAYMENT requires human financial review.,OPEN,RECONCILIATION_TEAM,SIMULATED
TXN00189,REFUND,HIGH,449.7,A refund was recorded for transaction TXN00189.,Verify the refund authorization and confirm that the refund amount is correct.,HIGH,REFUND_REVIEW,Verify the refund authorization and confirm that the refund amount and transaction reference are correct.,YES,EXCEPTION,1.0,REFUND,0.955,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,SIMULATED,URGENT,High-severity REFUND requires human financial review.,OPEN,RECONCILIATION_TEAM,SIMULATED
TXN00190,MISSING_SETTLEMENT,HIGH,1999.0,No settlement record was found for transaction TXN00190.,Verify the settlement batch and check whether the transaction is still pending.,HIGH,SETTLEMENT_REVIEW,Verify the settlement batch and check whether the transaction is still pending.,YES,EXCEPTION,1.0,MISSING_SETTLEMENT,1.0,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,SIMULATED,URGENT,High-severity MISSING_SETTLEMENT requires human financial review.,OPEN,RECONCILIATION_TEAM,SIMULATED
TXN00199,PARTIAL_SETTLEMENT,MEDIUM,1249.5,The settlement amount is lower than the expected gross settlement amount.,Verify whether the remaining amount is pending or was incorrectly settled.,MEDIUM,SETTLEMENT_REVIEW,Verify whether the remaining settlement amount is pending or was incorrectly omitted.,YES,EXCEPTION,0.99,PARTIAL_SETTLEMENT,0.76,RULE_EXCEPTION_ML_SUPPORT,ESCALATE_FOR_REVIEW,The resolution workflow requires this exception to be escalated for review.,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,SIMULATED,HIGH,The PARTIAL_SETTLEMENT exception requires human review according to the reconciliation resolution policy.,OPEN,RECONCILIATION_TEAM,SIMULATED
TXN00201,DUPLICATE_PAYMENT,MEDIUM,799.0,"Multiple payment records were found for transaction TXN00201, including a duplicate payment.",Verify the duplicate payment records and determine whether a reversal or refund is required.,MEDIUM,DUPLICATE_REVIEW,Review the duplicate payment records and determine whether a reversal or refund is required.,YES,EXCEPTION,0.98,DUPLICATE_PAYMENT,0.9,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The resolution workflow requires this exception to be escalated for review.,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,SIMULATED,HIGH,The DUPLICATE_PAYMENT exception requires human review according to the reconciliation resolution policy.,OPEN,RECONCILIATION_TEAM,SIMULATED
TXN00203,MISSING_SETTLEMENT,HIGH,1499.0,No settlement record was found for transaction TXN00203.,Verify the settlement batch and check whether the transaction is still pending.,HIGH,SETTLEMENT_REVIEW,Verify the settlement batch and check whether the transaction is still pending.,YES,EXCEPTION,1.0,MISSING_SETTLEMENT,1.0,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,SIMULATED,URGENT,High-severity MISSING_SETTLEMENT requires human financial review.,OPEN,RECONCILIATION_TEAM,SIMULATED
TXN00211,DUPLICATE_SETTLEMENT,MEDIUM,-84.94,"Multiple settlement records were found for transaction TXN00211, including a duplicate settlement.",Verify the duplicate settlement entries and investigate possible over-settlement.,MEDIUM,DUPLICATE_REVIEW,Review the settlement records and determine whether the transaction was settled more than once.,YES,EXCEPTION,0.935,DUPLICATE_SETTLEMENT,0.98,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The resolution workflow requires this exception to be escalated for review.,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,SIMULATED,HIGH,The DUPLICATE_SETTLEMENT exception requires human review according to the reconciliation resolution policy.,OPEN,RECONCILIATION_TEAM,SIMULATED
TXN00212,MULTIPLE_PAYMENTS,MEDIUM,2999.7,Multiple payment records exist for transaction TXN00212.,Verify why multiple payments exist for the same transaction and confirm the correct payment record.,MEDIUM,DUPLICATE_REVIEW,Review all payment records associated with the transaction and determine whether multiple payments were legitimately received.,YES,EXCEPTION,0.995,MULTIPLE_PAYMENTS,0.79,RULE_EXCEPTION_ML_SUPPORT,ESCALATE_FOR_REVIEW,The resolution workflow requires this exception to be escalated for review.,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,SIMULATED,HIGH,The MULTIPLE_PAYMENTS exception requires human review according to the reconciliation resolution policy.,OPEN,RECONCILIATION_TEAM,SIMULATED
TXN00222,MISSING_SETTLEMENT,HIGH,799.0,No settlement record was found for transaction TXN00222.,Verify the settlement batch and check whether the transaction is still pending.,HIGH,SETTLEMENT_REVIEW,Verify the settlement batch and check whether the transaction is still pending.,YES,EXCEPTION,1.0,MISSING_SETTLEMENT,1.0,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,SIMULATED,URGENT,High-severity MISSING_SETTLEMENT requires human financial review.,OPEN,RECONCILIATION_TEAM,SIMULATED
TXN00230,PARTIAL_SETTLEMENT,MEDIUM,799.8,The settlement amount is lower than the expected gross settlement amount.,Verify whether the remaining amount is pending or was incorrectly settled.,MEDIUM,SETTLEMENT_REVIEW,Verify whether the remaining settlement amount is pending or was incorrectly omitted.,YES,EXCEPTION,1.0,PARTIAL_SETTLEMENT,0.765,RULE_EXCEPTION_ML_SUPPORT,ESCALATE_FOR_REVIEW,The resolution workflow requires this exception to be escalated for review.,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,SIMULATED,HIGH,The PARTIAL_SETTLEMENT exception requires human review according to the reconciliation resolution policy.,OPEN,RECONCILIATION_TEAM,SIMULATED
TXN00242,PARTIAL_SETTLEMENT,MEDIUM,999.5,The settlement amount is lower than the expected gross settlement amount.,Verify whether the remaining amount is pending or was incorrectly settled.,MEDIUM,SETTLEMENT_REVIEW,Verify whether the remaining settlement amount is pending or was incorrectly omitted.,YES,EXCEPTION,1.0,PARTIAL_SETTLEMENT,0.735,RULE_EXCEPTION_ML_SUPPORT,ESCALATE_FOR_REVIEW,The resolution workflow requires this exception to be escalated for review.,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,SIMULATED,HIGH,The PARTIAL_SETTLEMENT exception requires human review according to the reconciliation resolution policy.,OPEN,RECONCILIATION_TEAM,SIMULATED
TXN00248,DUPLICATE_PAYMENT,MEDIUM,3999.0,"Multiple payment records were found for transaction TXN00248, including a duplicate payment.",Verify the duplicate payment records and determine whether a reversal or refund is required.,MEDIUM,DUPLICATE_REVIEW,Review the duplicate payment records and determine whether a reversal or refund is required.,YES,EXCEPTION,0.995,DUPLICATE_PAYMENT,0.97,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The resolution workflow requires this exception to be escalated for review.,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,SIMULATED,HIGH,The DUPLICATE_PAYMENT exception requires human review according to the reconciliation resolution policy.,OPEN,RECONCILIATION_TEAM,SIMULATED
TXN00252,UNKNOWN_ADJUSTMENT,MEDIUM,-500.0,An unexpected settlement adjustment was recorded for transaction TXN00252.,Review the adjustment entry and identify its source.,MEDIUM,ADJUSTMENT_REVIEW,Review the adjustment entry and identify its source and business reason.,YES,EXCEPTION,1.0,UNKNOWN_ADJUSTMENT,0.84,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The resolution workflow requires this exception to be escalated for review.,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,SIMULATED,HIGH,The UNKNOWN_ADJUSTMENT exception requires human review according to the reconciliation resolution policy.,OPEN,RECONCILIATION_TEAM,SIMULATED
TXN00265,MISSING_PAYMENT,HIGH,4999.0,No payment record was found for transaction TXN00265.,Verify payment gateway records and confirm whether the payment was received.,HIGH,PAYMENT_REVIEW,Verify the payment gateway records and confirm whether the payment was received.,YES,EXCEPTION,1.0,MISSING_PAYMENT,0.97,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,SIMULATED,URGENT,High-severity MISSING_PAYMENT requires human financial review.,OPEN,RECONCILIATION_TEAM,SIMULATED
TXN00283,FAILED_PAYMENT,HIGH,999.0,The payment associated with transaction TXN00283 is marked as FAILED.,Verify the payment status and determine whether a retry or customer follow-up is required.,HIGH,PAYMENT_REVIEW,Verify the payment failure status and determine whether the payment should be retried or followed up.,YES,EXCEPTION,0.9,FAILED_PAYMENT,0.96,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,SIMULATED,URGENT,High-severity FAILED_PAYMENT requires human financial review.,OPEN,RECONCILIATION_TEAM,SIMULATED
TXN00288,FAILED_PAYMENT,HIGH,299.0,The payment associated with transaction TXN00288 is marked as FAILED.,Verify the payment status and determine whether a retry or customer follow-up is required.,HIGH,PAYMENT_REVIEW,Verify the payment failure status and determine whether the payment should be retried or followed up.,YES,EXCEPTION,0.845,FAILED_PAYMENT,0.775,RULE_EXCEPTION_ML_SUPPORT,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,SIMULATED,URGENT,High-severity FAILED_PAYMENT requires human financial review.,OPEN,RECONCILIATION_TEAM,SIMULATED
TXN00291,DUPLICATE_PAYMENT,MEDIUM,799.0,"Multiple payment records were found for transaction TXN00291, including a duplicate payment.",Verify the duplicate payment records and determine whether a reversal or refund is required.,MEDIUM,DUPLICATE_REVIEW,Review the duplicate payment records and determine whether a reversal or refund is required.,YES,EXCEPTION,0.98,DUPLICATE_PAYMENT,0.9,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The resolution workflow requires this exception to be escalated for review.,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,SIMULATED,HIGH,The DUPLICATE_PAYMENT exception requires human review according to the reconciliation resolution policy.,OPEN,RECONCILIATION_TEAM,SIMULATED
TXN00294,DUPLICATE_SETTLEMENT,MEDIUM,-23.58,"Multiple settlement records were found for transaction TXN00294, including a duplicate settlement.",Verify the duplicate settlement entries and investigate possible over-settlement.,MEDIUM,DUPLICATE_REVIEW,Review the settlement records and determine whether the transaction was settled more than once.,YES,EXCEPTION,0.965,DUPLICATE_SETTLEMENT,0.96,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The resolution workflow requires this exception to be escalated for review.,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,SIMULATED,HIGH,The DUPLICATE_SETTLEMENT exception requires human review according to the reconciliation resolution policy.,OPEN,RECONCILIATION_TEAM,SIMULATED
TXN00299,FAILED_PAYMENT,HIGH,3999.0,The payment associated with transaction TXN00299 is marked as FAILED.,Verify the payment status and determine whether a retry or customer follow-up is required.,HIGH,PAYMENT_REVIEW,Verify the payment failure status and determine whether the payment should be retried or followed up.,YES,EXCEPTION,0.965,FAILED_PAYMENT,0.91,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,SIMULATED,URGENT,High-severity FAILED_PAYMENT requires human financial review.,OPEN,RECONCILIATION_TEAM,SIMULATED
TXN00300,MISSING_SETTLEMENT,HIGH,1999.0,No settlement record was found for transaction TXN00300.,Verify the settlement batch and check whether the transaction is still pending.,HIGH,SETTLEMENT_REVIEW,Verify the settlement batch and check whether the transaction is still pending.,YES,EXCEPTION,1.0,MISSING_SETTLEMENT,1.0,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,YES,SIMULATED,URGENT,High-severity MISSING_SETTLEMENT requires human financial review.,OPEN,RECONCILIATION_TEAM,SIMULATED
