audit_id,transaction_id,exception_type,severity,difference,deterministic_explanation,ai_explanation,explanation_source,recommended_action,ml_status,ml_exception_probability,ml_predicted_exception_type,ml_exception_type_probability,hybrid_decision,agent_decision,agent_decision_reason,action_type,action_status,execution_mode,escalation_required,escalation_priority,escalation_status,review_owner,review_status,reviewer,reviewer_action,reviewer_note,audit_event_status
AUDIT_00011,TXN00051,MULTIPLE_PAYMENTS,MEDIUM,2399.7,Multiple payment records exist for transaction TXN00051.,A MULTIPLE_PAYMENTS exception with MEDIUM severity was identified for transaction TXN00051. Multiple payment records exist for transaction TXN00051. Recommended action: Verify why multiple payments exist for the same transaction and confirm the correct payment record.,GEMINI,Verify why multiple payments exist for the same transaction and confirm the correct payment record.,EXCEPTION,0.98,MULTIPLE_PAYMENTS,0.755,RULE_EXCEPTION_ML_SUPPORT,ESCALATE_FOR_REVIEW,The resolution workflow requires this exception to be escalated for review.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,HIGH,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00012,TXN00054,MISSING_PAYMENT,HIGH,1999.0,No payment record was found for transaction TXN00054.,A high-severity MISSING_PAYMENT exception was detected for transaction TXN00054. No payment record was found for transaction TXN00054. Discrepancy amount: 1999.0. Recommended action: Verify payment gateway records and confirm whether the payment was received.,GEMINI,Verify payment gateway records and confirm whether the payment was received.,EXCEPTION,1.0,MISSING_PAYMENT,1.0,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,URGENT,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00013,TXN00057,MISSING_PAYMENT,HIGH,5999.0,No payment record was found for transaction TXN00057.,A high-severity MISSING_PAYMENT exception was detected for transaction TXN00057. No payment record was found for transaction TXN00057. Discrepancy amount: 5999.0. Recommended action: Verify payment gateway records and confirm whether the payment was received.,GEMINI,Verify payment gateway records and confirm whether the payment was received.,EXCEPTION,1.0,MISSING_PAYMENT,0.98,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,URGENT,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00014,TXN00067,REFUND,HIGH,374.75,A refund was recorded for transaction TXN00067.,A HIGH-severity REFUND exception was identified for transaction TXN00067. A refund was recorded for transaction TXN00067. The associated difference is 374.75. Recommended action: Verify the refund authorization and confirm that the refund amount is correct.,RULE_TEMPLATE,Verify the refund authorization and confirm that the refund amount is correct.,EXCEPTION,1.0,REFUND,0.88,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,URGENT,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00015,TXN00077,DUPLICATE_PAYMENT,MEDIUM,299.0,"Multiple payment records were found for transaction TXN00077, including a duplicate payment.","A DUPLICATE_PAYMENT exception with MEDIUM severity has been identified for transaction TXN00077. Multiple payment records were found for transaction TXN00077, including a duplicate payment. Variance: 299.0. Recommended action: Verify the duplicate payment records and determine whether a reversal or refund is required.",GEMINI,Verify the duplicate payment records and determine whether a reversal or refund is required.,EXCEPTION,0.975,DUPLICATE_PAYMENT,0.89,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The resolution workflow requires this exception to be escalated for review.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,HIGH,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00016,TXN00086,AMOUNT_MISMATCH,HIGH,250.0,The settlement amount does not match the clean reference amount.,Transaction TXN00086 triggered a HIGH severity AMOUNT_MISMATCH exception. The settlement amount does not match the clean reference amount. A variance of 250.0 was detected during reconciliation. Recommended action: Compare the expected and actual settlement amounts and investigate the difference.,GEMINI,Compare the expected and actual settlement amounts and investigate the difference.,EXCEPTION,0.975,AMOUNT_MISMATCH,0.735,RULE_EXCEPTION_ML_SUPPORT,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,URGENT,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00017,TXN00089,WRONG_TRANSACTION_REFERENCE,MEDIUM,0.0,The bank reference does not match transaction TXN00089.,A WRONG_TRANSACTION_REFERENCE exception with MEDIUM severity was identified for transaction TXN00089. The bank reference does not match transaction TXN00089. The reconciliation difference is 0.0. Recommended action: Verify the bank reference and correct the transaction mapping if required.,RULE_TEMPLATE,Verify the bank reference and correct the transaction mapping if required.,EXCEPTION,0.695,NONE,0.935,RULE_EXCEPTION_ML_SUPPORT,ESCALATE_FOR_REVIEW,The resolution workflow requires this exception to be escalated for review.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,HIGH,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00018,TXN00093,INCORRECT_FEE,MEDIUM,69.93,The settlement fee differs from the expected fee structure.,"An INCORRECT_FEE exception of Medium severity has been flagged for transaction TXN00093. The settlement fee differs from the expected fee structure. A fee variance of 69.93 was identified. To reconcile this discrepancy, please proceed with the recommended action: Compare the charged settlement fee with the expected fee structure..",GEMINI,Compare the charged settlement fee with the expected fee structure.,EXCEPTION,0.925,INCORRECT_FEE,0.69,RULE_EXCEPTION_ML_SUPPORT,FEE_REVIEW,The exception is categorized as FEE_REVIEW and does not require escalation.,CREATE_FEE_REVIEW,REVIEW_REQUIRED,SIMULATED,NO,,,,PENDING,,,,OPEN
AUDIT_00019,TXN00114,MISSING_PAYMENT,HIGH,999.0,No payment record was found for transaction TXN00114.,A high-severity MISSING_PAYMENT exception was detected for transaction TXN00114. No payment record was found for transaction TXN00114. Discrepancy amount: 999.0. Recommended action: Verify payment gateway records and confirm whether the payment was received.,GEMINI,Verify payment gateway records and confirm whether the payment was received.,EXCEPTION,1.0,MISSING_PAYMENT,0.995,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,URGENT,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00020,TXN00130,WRONG_TRANSACTION_REFERENCE,MEDIUM,0.0,The bank reference does not match transaction TXN00130.,A WRONG_TRANSACTION_REFERENCE exception with MEDIUM severity was identified for transaction TXN00130. The bank reference does not match transaction TXN00130. The reconciliation difference is 0.0. Recommended action: Verify the bank reference and correct the transaction mapping if required.,RULE_TEMPLATE,Verify the bank reference and correct the transaction mapping if required.,EXCEPTION,0.62,WRONG_TRANSACTION_REFERENCE,0.64,RULE_EXCEPTION_ML_SUPPORT,ESCALATE_FOR_REVIEW,The resolution workflow requires this exception to be escalated for review.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,HIGH,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00021,TXN00137,WRONG_TRANSACTION_REFERENCE,MEDIUM,0.0,The bank reference does not match transaction TXN00137.,A WRONG_TRANSACTION_REFERENCE exception with MEDIUM severity was identified for transaction TXN00137. The bank reference does not match transaction TXN00137. The reconciliation difference is 0.0. Recommended action: Verify the bank reference and correct the transaction mapping if required.,RULE_TEMPLATE,Verify the bank reference and correct the transaction mapping if required.,MATCHED,0.009,NONE,0.995,RULE_EXCEPTION_ML_DISAGREEMENT,ESCALATE_FOR_REVIEW,"The reconciliation rule identified an exception requiring escalation, while the ML layer disagreed with the rule result.",CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,HIGH,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00022,TXN00150,PARTIAL_SETTLEMENT,MEDIUM,1999.8,The settlement amount is lower than the expected gross settlement amount.,A PARTIAL_SETTLEMENT exception with MEDIUM severity was identified for transaction TXN00150. The settlement amount is lower than the expected gross settlement amount. Settlement reconciliation shows a difference of 1999.8. Recommended action: Verify whether the remaining amount is pending or was incorrectly settled.,RULE_TEMPLATE,Verify whether the remaining amount is pending or was incorrectly settled.,EXCEPTION,0.965,PARTIAL_SETTLEMENT,0.74,RULE_EXCEPTION_ML_SUPPORT,ESCALATE_FOR_REVIEW,The resolution workflow requires this exception to be escalated for review.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,HIGH,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00023,TXN00151,MISSING_PAYMENT,HIGH,1499.0,No payment record was found for transaction TXN00151.,A high-severity MISSING_PAYMENT exception was detected for transaction TXN00151. No payment record was found for transaction TXN00151. Discrepancy amount: 1499.0. Recommended action: Verify payment gateway records and confirm whether the payment was received.,GEMINI,Verify payment gateway records and confirm whether the payment was received.,EXCEPTION,1.0,MISSING_PAYMENT,1.0,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,URGENT,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00024,TXN00158,INCORRECT_FEE,MEDIUM,149.9,The settlement fee differs from the expected fee structure.,"An INCORRECT_FEE exception of Medium severity has been flagged for transaction TXN00158. The settlement fee differs from the expected fee structure. A fee variance of 149.9 was identified. To reconcile this discrepancy, please proceed with the recommended action: Compare the charged settlement fee with the expected fee structure..",GEMINI,Compare the charged settlement fee with the expected fee structure.,EXCEPTION,0.945,INCORRECT_FEE,0.375,RULE_EXCEPTION_ML_SUPPORT,FEE_REVIEW,The exception is categorized as FEE_REVIEW and does not require escalation.,CREATE_FEE_REVIEW,REVIEW_REQUIRED,SIMULATED,NO,,,,PENDING,,,,OPEN
AUDIT_00025,TXN00175,MISSING_PAYMENT,HIGH,2499.0,No payment record was found for transaction TXN00175.,A high-severity MISSING_PAYMENT exception was detected for transaction TXN00175. No payment record was found for transaction TXN00175. Discrepancy amount: 2499.0. Recommended action: Verify payment gateway records and confirm whether the payment was received.,GEMINI,Verify payment gateway records and confirm whether the payment was received.,EXCEPTION,1.0,MISSING_PAYMENT,0.995,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,URGENT,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00026,TXN00178,DUPLICATE_PAYMENT,MEDIUM,2999.0,"Multiple payment records were found for transaction TXN00178, including a duplicate payment.","A DUPLICATE_PAYMENT exception with MEDIUM severity has been identified for transaction TXN00178. Multiple payment records were found for transaction TXN00178, including a duplicate payment. Variance: 2999.0. Recommended action: Verify the duplicate payment records and determine whether a reversal or refund is required.",GEMINI,Verify the duplicate payment records and determine whether a reversal or refund is required.,EXCEPTION,0.99,DUPLICATE_PAYMENT,0.91,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The resolution workflow requires this exception to be escalated for review.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,HIGH,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00027,TXN00179,DATE_MISMATCH,LOW,0.0,The payment date differs from the clean reference payment date.,Transaction TXN00179 has triggered a low-severity DATE_MISMATCH exception because The payment date differs from the clean reference payment date. (date difference: 0.0). Please perform the following recommended action to resolve the discrepancy: Verify the payment processing date against the source payment record..,GEMINI,Verify the payment processing date against the source payment record.,EXCEPTION,0.6,DATE_MISMATCH,0.62,RULE_EXCEPTION_ML_SUPPORT,DATE_REVIEW,The exception is categorized as DATE_REVIEW and does not require escalation.,CREATE_DATE_REVIEW,REVIEW_REQUIRED,SIMULATED,NO,,,,PENDING,,,,OPEN
AUDIT_00028,TXN00185,AMOUNT_MISMATCH,HIGH,100.0,The settlement amount does not match the clean reference amount.,Transaction TXN00185 triggered a HIGH severity AMOUNT_MISMATCH exception. The settlement amount does not match the clean reference amount. A variance of 100.0 was detected during reconciliation. Recommended action: Compare the expected and actual settlement amounts and investigate the difference.,GEMINI,Compare the expected and actual settlement amounts and investigate the difference.,EXCEPTION,0.975,AMOUNT_MISMATCH,0.865,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,URGENT,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00029,TXN00186,MISSING_PAYMENT,HIGH,2499.0,No payment record was found for transaction TXN00186.,A high-severity MISSING_PAYMENT exception was detected for transaction TXN00186. No payment record was found for transaction TXN00186. Discrepancy amount: 2499.0. Recommended action: Verify payment gateway records and confirm whether the payment was received.,GEMINI,Verify payment gateway records and confirm whether the payment was received.,EXCEPTION,1.0,MISSING_PAYMENT,0.995,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,URGENT,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00030,TXN00189,REFUND,HIGH,449.7,A refund was recorded for transaction TXN00189.,A HIGH-severity REFUND exception was identified for transaction TXN00189. A refund was recorded for transaction TXN00189. The associated difference is 449.7. Recommended action: Verify the refund authorization and confirm that the refund amount is correct.,RULE_TEMPLATE,Verify the refund authorization and confirm that the refund amount is correct.,EXCEPTION,1.0,REFUND,0.955,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,URGENT,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00031,TXN00190,MISSING_SETTLEMENT,HIGH,1999.0,No settlement record was found for transaction TXN00190.,A HIGH severity MISSING_SETTLEMENT exception was identified for transaction TXN00190. No settlement record was found for transaction TXN00190. Recommended action: Verify the settlement batch and check whether the transaction is still pending.,GEMINI,Verify the settlement batch and check whether the transaction is still pending.,EXCEPTION,1.0,MISSING_SETTLEMENT,1.0,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,URGENT,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00032,TXN00196,SETTLEMENT_DELAY,LOW,0.0,The settlement date differs from the clean reference settlement date.,A low-severity SETTLEMENT_DELAY exception was identified for transaction TXN00196. The settlement date differs from the clean reference settlement date. The settlement timing difference is 0.0. Recommended action: Check settlement processing status and investigate the settlement delay.,RULE_TEMPLATE,Check settlement processing status and investigate the settlement delay.,EXCEPTION,0.62,SETTLEMENT_DELAY,0.665,RULE_EXCEPTION_ML_SUPPORT,SETTLEMENT_REVIEW,The exception is categorized as SETTLEMENT_REVIEW and does not require escalation.,CREATE_SETTLEMENT_REVIEW,REVIEW_REQUIRED,SIMULATED,NO,,,,PENDING,,,,OPEN
AUDIT_00033,TXN00199,PARTIAL_SETTLEMENT,MEDIUM,1249.5,The settlement amount is lower than the expected gross settlement amount.,A PARTIAL_SETTLEMENT exception with MEDIUM severity was identified for transaction TXN00199. The settlement amount is lower than the expected gross settlement amount. Settlement reconciliation shows a difference of 1249.5. Recommended action: Verify whether the remaining amount is pending or was incorrectly settled.,RULE_TEMPLATE,Verify whether the remaining amount is pending or was incorrectly settled.,EXCEPTION,0.99,PARTIAL_SETTLEMENT,0.76,RULE_EXCEPTION_ML_SUPPORT,ESCALATE_FOR_REVIEW,The resolution workflow requires this exception to be escalated for review.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,HIGH,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00034,TXN00201,DUPLICATE_PAYMENT,MEDIUM,799.0,"Multiple payment records were found for transaction TXN00201, including a duplicate payment.","A DUPLICATE_PAYMENT exception with MEDIUM severity has been identified for transaction TXN00201. Multiple payment records were found for transaction TXN00201, including a duplicate payment. Variance: 799.0. Recommended action: Verify the duplicate payment records and determine whether a reversal or refund is required.",GEMINI,Verify the duplicate payment records and determine whether a reversal or refund is required.,EXCEPTION,0.98,DUPLICATE_PAYMENT,0.9,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The resolution workflow requires this exception to be escalated for review.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,HIGH,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00035,TXN00203,MISSING_SETTLEMENT,HIGH,1499.0,No settlement record was found for transaction TXN00203.,A HIGH severity MISSING_SETTLEMENT exception was identified for transaction TXN00203. No settlement record was found for transaction TXN00203. Recommended action: Verify the settlement batch and check whether the transaction is still pending.,GEMINI,Verify the settlement batch and check whether the transaction is still pending.,EXCEPTION,1.0,MISSING_SETTLEMENT,1.0,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,URGENT,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00036,TXN00211,DUPLICATE_SETTLEMENT,MEDIUM,-84.94,"Multiple settlement records were found for transaction TXN00211, including a duplicate settlement.","A DUPLICATE_SETTLEMENT exception was identified for transaction TXN00211 due to multiple settlement records being detected, resulting in a discrepancy of -84.94. Multiple settlement records were found for transaction TXN00211, including a duplicate settlement. Verify the duplicate settlement entries and investigate possible over-settlement.",GEMINI,Verify the duplicate settlement entries and investigate possible over-settlement.,EXCEPTION,0.935,DUPLICATE_SETTLEMENT,0.98,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The resolution workflow requires this exception to be escalated for review.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,HIGH,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00037,TXN00212,MULTIPLE_PAYMENTS,MEDIUM,2999.7,Multiple payment records exist for transaction TXN00212.,A MULTIPLE_PAYMENTS exception with MEDIUM severity was identified for transaction TXN00212. Multiple payment records exist for transaction TXN00212. Recommended action: Verify why multiple payments exist for the same transaction and confirm the correct payment record.,GEMINI,Verify why multiple payments exist for the same transaction and confirm the correct payment record.,EXCEPTION,0.995,MULTIPLE_PAYMENTS,0.79,RULE_EXCEPTION_ML_SUPPORT,ESCALATE_FOR_REVIEW,The resolution workflow requires this exception to be escalated for review.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,HIGH,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00038,TXN00222,MISSING_SETTLEMENT,HIGH,799.0,No settlement record was found for transaction TXN00222.,A HIGH severity MISSING_SETTLEMENT exception was identified for transaction TXN00222. No settlement record was found for transaction TXN00222. Recommended action: Verify the settlement batch and check whether the transaction is still pending.,GEMINI,Verify the settlement batch and check whether the transaction is still pending.,EXCEPTION,1.0,MISSING_SETTLEMENT,1.0,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,URGENT,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00039,TXN00230,PARTIAL_SETTLEMENT,MEDIUM,799.8,The settlement amount is lower than the expected gross settlement amount.,A PARTIAL_SETTLEMENT exception with MEDIUM severity was identified for transaction TXN00230. The settlement amount is lower than the expected gross settlement amount. Settlement reconciliation shows a difference of 799.8. Recommended action: Verify whether the remaining amount is pending or was incorrectly settled.,RULE_TEMPLATE,Verify whether the remaining amount is pending or was incorrectly settled.,EXCEPTION,1.0,PARTIAL_SETTLEMENT,0.765,RULE_EXCEPTION_ML_SUPPORT,ESCALATE_FOR_REVIEW,The resolution workflow requires this exception to be escalated for review.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,HIGH,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
